order_item_sk,order_date_sk,customer_sk,channel_sk,store_sk,bill_addr_sk,product_sk,quantity,unit_price,discount_amount,line_total
176,59,1383,1,,3141,2,2,15750.0,3150.0,28350.0
177,476,1189,1,,885,1,1,10800.0,1080.0,9720.0
178,476,1189,1,,885,2,3,15000.0,4500.0,40500.0
179,476,1189,1,,885,1,3,12000.0,3600.0,32400.0
180,626,1016,1,,1995,1,3,12000.0,720.0,35280.0
181,626,1016,1,,1995,2,2,15000.0,3000.0,27000.0
182,507,595,2,3,164,2,1,13500.0,1350.0,12150.0
183,25,902,2,4,2020,1,3,13200.0,0.0,39600.0
184,208,317,1,,2601,2,2,13500.0,540.0,26460.0
185,166,1229,2,2,,2,1,15000.0,0.0,15000.0
186,6,279,2,3,63,1,3,12000.0,720.0,35280.0
187,6,279,2,3,63,2,2,15000.0,3000.0,27000.0
188,151,1498,2,4,2609,1,1,12000.0,600.0,11400.0
189,151,1498,2,4,2609,1,2,10800.0,0.0,21600.0
190,386,140,1,,2026,2,2,15000.0,1500.0,28500.0
191,320,1115,1,,462,1,1,12000.0,240.0,11760.0
192,3,1240,1,,1477,1,3,12000.0,1800.0,34200.0
193,97,590,1,,1328,2,1,15000.0,1500.0,13500.0
194,414,645,2,3,1878,2,1,13500.0,270.0,13230.0
195,335,545,2,1,2477,1,1,13200.0,1320.0,11880.0
196,542,1208,1,,3064,2,1,15000.0,750.0,14250.0
197,542,1208,1,,3064,1,1,13200.0,264.0,12936.0
198,542,1208,1,,3064,1,2,12000.0,480.0,23520.0
199,158,551,2,1,1113,1,3,12000.0,1800.0,34200.0
200,158,551,2,1,1113,1,3,12000.0,3600.0,32400.0
201,40,569,2,1,214,2,2,16500.0,3300.0,29700.0
202,566,1305,1,,,2,2,15000.0,0.0,30000.0
203,126,280,1,,194,2,3,15750.0,2362.5,44887.5
204,126,280,1,,194,1,3,12600.0,0.0,37800.0
205,342,1338,1,,,2,2,16500.0,660.0,32340.0
206,342,1338,1,,,2,2,15000.0,3000.0,27000.0
207,538,84,1,,592,1,3,12000.0,720.0,35280.0
208,387,655,1,,81,2,1,15000.0,1500.0,13500.0
209,516,513,2,4,3049,2,2,16500.0,660.0,32340.0
210,107,884,2,3,849,1,3,12000.0,720.0,35280.0
211,8,385,2,2,1553,1,1,10800.0,1080.0,9720.0
212,527,723,2,2,752,1,1,12000.0,1200.0,10800.0
213,183,110,2,1,2113,2,3,15750.0,4725.0,42525.0
214,43,1197,1,,2708,1,1,12000.0,0.0,12000.0
215,303,833,2,2,1194,2,3,15000.0,2250.0,42750.0
216,392,371,2,3,1185,1,1,12000.0,0.0,12000.0
217,392,371,2,3,1185,2,3,15750.0,0.0,47250.0
218,115,905,2,1,1807,2,2,15000.0,0.0,30000.0
219,196,389,1,,3180,1,1,12600.0,252.0,12348.0
220,165,1299,2,4,,2,2,15000.0,600.0,29400.0
221,295,725,1,,,2,3,15000.0,0.0,45000.0
222,578,645,2,4,161,1,2,12000.0,1200.0,22800.0
223,55,584,1,,984,1,2,10800.0,0.0,21600.0
224,419,436,1,,3083,1,3,12000.0,0.0,36000.0
225,419,436,1,,3083,2,2,15000.0,3000.0,27000.0
226,605,293,1,,2895,1,2,12000.0,480.0,23520.0
227,574,1065,1,,,2,1,15000.0,1500.0,13500.0
228,574,1065,1,,,2,2,15750.0,1575.0,29925.0
229,384,1234,1,,1645,2,1,13500.0,675.0,12825.0
230,384,1234,1,,1645,1,1,10800.0,540.0,10260.0
231,384,1234,1,,1645,1,2,12000.0,0.0,24000.0
232,57,400,1,,2133,2,3,13500.0,0.0,40500.0
233,190,251,1,,,1,1,12000.0,1200.0,10800.0
234,89,764,2,4,,2,2,15000.0,0.0,30000.0
235,424,1490,1,,2733,1,1,12000.0,240.0,11760.0
236,128,181,1,,607,1,2,12000.0,1200.0,22800.0
237,533,693,1,,1849,2,2,15750.0,0.0,31500.0
238,251,672,2,2,2475,1,1,12000.0,240.0,11760.0
239,152,786,1,,1699,1,1,12000.0,0.0,12000.0
240,422,1347,2,2,1260,2,1,16500.0,1650.0,14850.0
241,328,628,1,,,2,1,13500.0,675.0,12825.0
242,489,1485,2,2,3036,2,1,15000.0,1500.0,13500.0
243,590,805,1,,1866,2,3,15000.0,900.0,44100.0
244,590,805,1,,1866,2,2,15000.0,1500.0,28500.0
245,142,445,1,,2685,1,2,12600.0,0.0,25200.0
246,317,560,1,,2249,1,2,12000.0,480.0,23520.0
247,252,403,1,,1525,1,2,13200.0,1320.0,25080.0
248,300,693,2,1,1838,2,2,13500.0,0.0,27000.0
249,497,274,2,2,2613,2,1,15000.0,1500.0,13500.0
250,200,804,1,,600,1,3,12600.0,756.0,37044.0
251,200,804,1,,600,1,2,12000.0,1200.0,22800.0
252,212,1495,1,,2585,1,1,12000.0,600.0,11400.0
253,409,48,2,1,2002,1,3,12000.0,3600.0,32400.0
254,601,661,2,3,2869,2,2,15000.0,3000.0,27000.0
255,123,984,1,,3020,1,3,12600.0,756.0,37044.0
256,157,1384,1,,1811,1,1,12000.0,240.0,11760.0
257,625,788,1,,1179,2,3,15000.0,4500.0,40500.0
258,625,788,1,,1179,1,1,12000.0,1200.0,10800.0
259,625,788,1,,1179,1,3,12600.0,756.0,37044.0
260,68,456,2,2,1133,1,1,12000.0,0.0,12000.0
261,46,427,1,,,1,3,12000.0,3600.0,32400.0
262,622,866,1,,913,1,1,12000.0,1200.0,10800.0
263,622,866,1,,913,1,3,12000.0,1800.0,34200.0
264,425,371,1,,352,2,1,15000.0,1500.0,13500.0
265,425,371,1,,352,2,2,16500.0,660.0,32340.0
266,592,1000,1,,1481,2,2,15000.0,0.0,30000.0
267,100,1404,1,,2536,1,1,12000.0,1200.0,10800.0
268,34,1159,1,,,1,3,10800.0,3240.0,29160.0
269,444,1040,1,,,1,2,13200.0,0.0,26400.0
270,444,1040,1,,,1,2,12000.0,2400.0,21600.0
271,269,464,1,,2887,1,1,12000.0,1200.0,10800.0
272,269,464,1,,2887,1,1,12000.0,1200.0,10800.0
273,321,166,1,,1631,1,1,12600.0,0.0,12600.0
274,321,166,1,,1631,2,2,15750.0,3150.0,28350.0
275,452,1056,2,3,1262,1,3,12000.0,0.0,36000.0
276,322,925,2,3,2299,1,3,12000.0,3600.0,32400.0
277,393,488,1,,678,2,1,15000.0,1500.0,13500.0
278,393,488,1,,678,2,2,15000.0,3000.0,27000.0
279,274,903,1,,459,2,1,15000.0,300.0,14700.0
280,573,70,1,,1448,1,2,12000.0,480.0,23520.0
281,493,1459,1,,,1,1,12600.0,252.0,12348.0
282,467,500,2,2,1838,2,3,16500.0,4950.0,44550.0
283,459,361,1,,370,1,2,12600.0,0.0,25200.0
284,445,476,1,,683,2,1,15000.0,1500.0,13500.0
285,566,1400,2,1,1780,1,3,12000.0,720.0,35280.0
286,566,1400,2,1,1780,2,2,15750.0,0.0,31500.0
287,415,945,1,,106,1,1,12000.0,240.0,11760.0
288,107,1443,1,,1390,2,1,15750.0,0.0,15750.0
289,201,1430,1,,2114,1,2,12600.0,2520.0,22680.0
290,29,1330,1,,613,2,3,13500.0,2025.0,38475.0
291,29,1330,1,,613,1,1,13200.0,660.0,12540.0
292,496,274,1,,3105,2,1,16500.0,825.0,15675.0
293,96,1251,2,2,455,2,1,15750.0,787.5,14962.5
294,96,1251,2,2,455,2,3,15000.0,0.0,45000.0
295,186,176,1,,299,1,1,10800.0,540.0,10260.0
296,186,176,1,,299,1,2,12000.0,2400.0,21600.0
297,164,42,2,2,1205,1,1,12000.0,1200.0,10800.0
298,164,42,2,2,1205,1,3,12000.0,1800.0,34200.0
299,630,582,1,,1139,1,1,12000.0,600.0,11400.0
300,493,4,2,1,73,1,2,12000.0,480.0,23520.0
301,243,569,2,2,2286,1,2,12000.0,2400.0,21600.0
302,359,157,2,1,708,1,2,12600.0,2520.0,22680.0
303,447,649,1,,230,2,3,15000.0,4500.0,40500.0
304,583,1230,1,,55,1,3,12600.0,3780.0,34020.0
305,198,197,1,,3115,1,3,10800.0,3240.0,29160.0
306,199,731,1,,1940,1,3,12000.0,720.0,35280.0
307,452,506,1,,2901,1,3,12000.0,720.0,35280.0
308,466,751,2,2,3016,2,1,15000.0,1500.0,13500.0
309,364,485,1,,201,1,3,12000.0,3600.0,32400.0
310,160,823,1,,2287,2,3,15750.0,0.0,47250.0
311,418,680,1,,2906,1,1,13200.0,264.0,12936.0
312,418,680,1,,2906,1,2,12000.0,0.0,24000.0
313,324,417,1,,531,2,1,15000.0,0.0,15000.0
314,514,677,1,,1685,1,2,12000.0,480.0,23520.0
315,276,1327,2,2,2411,1,2,12000.0,2400.0,21600.0
316,370,593,2,1,,1,1,12000.0,0.0,12000.0
317,370,593,2,1,,1,1,12000.0,0.0,12000.0
318,319,606,2,1,1048,1,3,12000.0,0.0,36000.0
319,447,137,2,2,2139,1,2,10800.0,432.0,21168.0
320,51,487,1,,1298,1,1,12600.0,630.0,11970.0
321,51,487,1,,1298,2,3,13500.0,810.0,39690.0
322,294,909,1,,179,2,2,15000.0,3000.0,27000.0
323,294,909,1,,179,1,1,12000.0,0.0,12000.0
324,285,179,2,1,2962,2,2,15000.0,3000.0,27000.0
325,285,179,2,1,2962,1,3,12000.0,3600.0,32400.0
326,593,183,1,,1611,1,3,12600.0,756.0,37044.0
327,525,536,1,,2922,2,1,16500.0,0.0,16500.0
328,257,1341,2,1,,1,2,10800.0,1080.0,20520.0
329,494,378,2,1,,2,1,15000.0,300.0,14700.0
330,494,378,2,1,,2,2,13500.0,1350.0,25650.0
331,636,548,1,,476,1,3,12000.0,0.0,36000.0
332,636,548,1,,476,2,2,13500.0,1350.0,25650.0
333,337,757,1,,116,2,1,15750.0,315.0,15435.0
334,300,522,2,4,2139,1,1,12000.0,1200.0,10800.0
335,110,1384,2,3,290,1,3,13200.0,0.0,39600.0
336,265,473,1,,1994,2,3,15750.0,4725.0,42525.0
337,75,1316,2,3,1075,1,3,12000.0,1800.0,34200.0
338,62,1356,2,1,1674,2,3,15000.0,900.0,44100.0
339,479,266,1,,597,1,2,12600.0,504.0,24696.0
340,479,266,1,,597,1,2,12000.0,2400.0,21600.0
341,287,1359,2,2,1810,1,2,10800.0,432.0,21168.0
342,226,843,1,,1968,2,1,15000.0,300.0,14700.0
343,275,599,1,,83,1,2,12000.0,480.0,23520.0
344,516,1048,2,1,723,2,2,15000.0,600.0,29400.0
345,516,1048,2,1,723,2,2,15000.0,1500.0,28500.0
346,361,319,1,,1480,2,2,15000.0,1500.0,28500.0
347,613,846,1,,661,1,2,13200.0,528.0,25872.0
348,347,1491,1,,3128,2,2,16500.0,0.0,33000.0
349,592,79,1,,1306,1,2,12000.0,0.0,24000.0
350,323,748,1,,862,1,3,12000.0,720.0,35280.0
351,366,537,1,,987,2,3,15000.0,4500.0,40500.0
352,597,303,2,2,2401,1,1,12600.0,1260.0,11340.0
353,597,303,2,2,2401,2,3,15750.0,945.0,46305.0
354,118,1065,1,,1988,1,3,13200.0,0.0,39600.0
355,118,1065,1,,1988,1,1,13200.0,264.0,12936.0
356,493,606,1,,2324,1,2,12000.0,480.0,23520.0
357,493,606,1,,2324,2,1,16500.0,825.0,15675.0
358,60,553,1,,1948,2,2,15000.0,3000.0,27000.0
359,439,656,1,,1668,1,1,12000.0,600.0,11400.0
360,287,786,1,,54,2,3,15750.0,945.0,46305.0
361,287,786,1,,54,1,2,12000.0,1200.0,22800.0
362,47,663,2,1,1839,1,1,12000.0,240.0,11760.0
363,43,833,1,,1046,1,3,12000.0,720.0,35280.0
364,43,833,1,,1046,1,3,12000.0,0.0,36000.0
365,299,844,1,,2889,1,2,13200.0,0.0,26400.0
366,61,720,1,,1437,1,3,12000.0,720.0,35280.0
367,272,169,2,1,2353,1,2,12000.0,0.0,24000.0
368,272,169,2,1,2353,2,3,13500.0,810.0,39690.0
369,173,969,1,,95,1,1,12000.0,1200.0,10800.0
370,173,969,1,,95,1,1,12000.0,1200.0,10800.0
371,512,268,2,4,2908,1,2,12000.0,0.0,24000.0
372,288,122,2,1,3023,2,2,15000.0,0.0,30000.0
373,288,122,2,1,3023,1,1,12000.0,0.0,12000.0
374,429,617,1,,164,1,2,10800.0,0.0,21600.0
375,593,608,1,,1523,2,3,15000.0,900.0,44100.0
376,202,732,2,1,1458,2,1,15000.0,300.0,14700.0
377,202,732,2,1,1458,1,1,12600.0,0.0,12600.0
378,436,211,1,,600,1,2,12000.0,1200.0,22800.0
379,436,211,1,,600,1,2,10800.0,432.0,21168.0
380,363,475,1,,432,1,2,10800.0,2160.0,19440.0
381,568,949,1,,1549,2,1,13500.0,675.0,12825.0
382,69,426,2,2,2971,2,2,15000.0,0.0,30000.0
383,69,426,2,2,2971,2,2,15000.0,1500.0,28500.0
384,304,386,1,,1037,2,1,15000.0,0.0,15000.0
385,193,500,1,,1798,2,2,15000.0,600.0,29400.0
386,534,677,2,1,1764,2,3,15000.0,2250.0,42750.0
387,398,33,2,1,2085,1,1,12000.0,240.0,11760.0
388,423,194,1,,1296,2,3,15750.0,0.0,47250.0
389,423,194,1,,1296,2,2,13500.0,540.0,26460.0
390,309,78,1,,3031,1,1,12000.0,240.0,11760.0
391,309,78,1,,3031,2,3,13500.0,4050.0,36450.0
392,309,78,1,,3031,1,3,13200.0,1980.0,37620.0
393,291,102,1,,825,2,3,16500.0,2475.0,47025.0
394,485,1072,2,4,2657,2,1,15000.0,300.0,14700.0
395,485,1072,2,4,2657,1,1,12600.0,630.0,11970.0
396,599,754,1,,3164,1,2,12000.0,2400.0,21600.0
397,113,195,1,,46,1,3,12000.0,0.0,36000.0
398,452,862,2,4,433,1,2,10800.0,1080.0,20520.0
399,180,240,2,2,491,2,1,15000.0,0.0,15000.0
400,589,682,2,1,761,2,3,15000.0,900.0,44100.0
401,309,849,2,1,536,1,3,12000.0,1800.0,34200.0
402,127,807,2,3,,1,3,12000.0,0.0,36000.0
403,324,901,1,,,1,3,12000.0,3600.0,32400.0
404,324,901,1,,,1,1,12000.0,240.0,11760.0
405,127,61,1,,,1,2,12000.0,0.0,24000.0
406,585,1082,1,,1246,2,2,13500.0,0.0,27000.0
407,585,1082,1,,1246,2,2,16500.0,3300.0,29700.0
408,76,1286,2,3,3149,1,3,12000.0,3600.0,32400.0
409,75,1416,1,,1586,2,1,15000.0,1500.0,13500.0
410,75,1416,1,,1586,2,3,15750.0,2362.5,44887.5
411,75,1416,1,,1586,2,3,13500.0,810.0,39690.0
412,469,979,1,,2941,1,2,12600.0,0.0,25200.0
413,120,800,1,,959,2,3,15000.0,2250.0,42750.0
414,120,800,1,,959,1,2,13200.0,0.0,26400.0
415,256,800,1,,920,2,1,15000.0,1500.0,13500.0
416,87,757,1,,802,2,1,15000.0,1500.0,13500.0
417,100,1194,2,1,2964,1,3,12600.0,0.0,37800.0
418,370,673,1,,,1,2,12000.0,2400.0,21600.0
419,373,1266,2,2,2233,2,2,15750.0,1575.0,29925.0
420,420,7,2,2,2850,2,2,15750.0,1575.0,29925.0
421,505,1040,2,3,148,2,3,15000.0,0.0,45000.0
422,505,1040,2,3,148,2,1,15000.0,750.0,14250.0
423,289,873,1,,1127,2,1,15000.0,0.0,15000.0
424,289,873,1,,1127,1,1,12000.0,240.0,11760.0
425,491,1336,1,,386,2,1,15750.0,1575.0,14175.0
426,491,1336,1,,386,2,2,15000.0,0.0,30000.0
427,483,708,2,1,1521,2,1,15750.0,1575.0,14175.0
428,483,708,2,1,1521,2,3,15000.0,0.0,45000.0
429,229,380,1,,4,2,2,16500.0,3300.0,29700.0
430,280,634,2,4,2997,1,1,12600.0,0.0,12600.0
431,111,578,1,,2574,1,1,12000.0,240.0,11760.0
432,596,1479,1,,2062,2,1,15000.0,750.0,14250.0
433,596,1479,1,,2062,2,1,15000.0,0.0,15000.0
434,580,1399,1,,1855,2,3,15000.0,900.0,44100.0
435,580,1399,1,,1855,2,2,16500.0,0.0,33000.0
436,325,522,2,4,2659,1,3,10800.0,1620.0,30780.0
437,457,247,2,1,752,1,2,10800.0,1080.0,20520.0
438,457,247,2,1,752,1,2,12600.0,504.0,24696.0
439,377,96,2,4,193,2,2,16500.0,0.0,33000.0
440,377,96,2,4,193,1,2,12600.0,504.0,24696.0
441,288,798,2,2,,1,2,13200.0,2640.0,23760.0
442,168,21,1,,2288,1,3,12000.0,1800.0,34200.0
443,168,21,1,,2288,1,3,12000.0,720.0,35280.0
444,375,1236,1,,1582,1,2,12600.0,504.0,24696.0
445,407,130,1,,1458,2,3,13500.0,2025.0,38475.0
446,407,130,1,,1458,2,2,15000.0,1500.0,28500.0
447,75,169,1,,2389,1,3,13200.0,3960.0,35640.0
448,349,973,2,2,2436,1,2,12000.0,0.0,24000.0
449,359,1449,1,,2195,2,3,15000.0,4500.0,40500.0
450,359,1449,1,,2195,2,1,15750.0,315.0,15435.0
451,626,210,1,,3168,1,3,12000.0,0.0,36000.0
452,626,210,1,,3168,2,1,15000.0,300.0,14700.0
453,351,737,1,,2218,1,1,13200.0,264.0,12936.0
