nps_id,customer_sk,channel_sk,date_sk,score,comment
13000000220,644,2,13.0,10,Atención muy buena
13000000221,514,2,569.0,8,Todo perfecto
13000000222,649,1,401.0,6,
13000000223,1294,2,600.0,5,Podría mejorar el empaque
13000000224,814,2,585.0,4,Volvería a comprar
13000000225,801,1,341.0,7,Entrega rápida y producto excelente
13000000226,351,1,343.0,5,Todo perfecto
13000000227,838,2,280.0,8,Todo perfecto
13000000228,78,1,500.0,6,Podría mejorar el empaque
13000000229,1338,1,355.0,2,Podría mejorar el empaque
13000000230,182,2,153.0,7,
13000000231,560,1,327.0,4,Atención muy buena
13000000232,1390,1,98.0,6,
13000000233,130,2,364.0,4,Tardó un poco más de lo esperado
13000000234,1143,2,500.0,2,Muy conforme con la calidad
13000000235,223,2,474.0,7,Atención muy buena
13000000236,622,1,47.0,2,Volvería a comprar
13000000237,1328,1,161.0,9,Muy conforme con la calidad
13000000238,1192,1,58.0,7,Tardó un poco más de lo esperado
13000000239,119,1,173.0,2,Tardó un poco más de lo esperado
13000000240,1115,1,591.0,8,Podría mejorar el empaque
13000000241,49,1,112.0,8,Todo perfecto
13000000242,1133,2,612.0,5,Muy conforme con la calidad
13000000243,193,1,563.0,9,Volvería a comprar
13000000244,539,1,28.0,6,Tardó un poco más de lo esperado
13000000245,200,1,451.0,7,Podría mejorar el empaque
13000000246,1084,1,25.0,10,Podría mejorar el empaque
13000000247,422,2,127.0,10,Entrega rápida y producto excelente
13000000248,348,2,249.0,6,Entrega rápida y producto excelente
13000000249,951,1,627.0,9,Volvería a comprar
13000000250,251,2,331.0,7,Tardó un poco más de lo esperado
13000000251,26,1,388.0,8,Atención muy buena
13000000252,1063,2,439.0,6,Volvería a comprar
13000000253,271,1,33.0,8,Podría mejorar el empaque
13000000254,567,1,386.0,9,Entrega rápida y producto excelente
13000000255,254,1,570.0,9,Atención muy buena
13000000256,66,2,96.0,6,Entrega rápida y producto excelente
13000000257,518,1,371.0,0,Entrega rápida y producto excelente
13000000258,603,1,178.0,7,Tardó un poco más de lo esperado
13000000259,321,1,30.0,4,
13000000260,1210,2,517.0,9,Tardó un poco más de lo esperado
13000000261,407,2,406.0,7,Atención muy buena
13000000262,996,2,368.0,9,Podría mejorar el empaque
13000000263,1192,2,308.0,8,Tardó un poco más de lo esperado
13000000264,221,1,225.0,1,Podría mejorar el empaque
13000000265,1189,1,571.0,6,Muy conforme con la calidad
13000000266,1230,1,205.0,9,Todo perfecto
13000000267,244,1,343.0,6,Podría mejorar el empaque
13000000268,416,1,303.0,6,Entrega rápida y producto excelente
13000000269,289,2,295.0,7,
13000000270,233,1,251.0,0,Todo perfecto
13000000271,300,1,444.0,7,Todo perfecto
13000000272,1066,1,278.0,5,Atención muy buena
13000000273,854,2,38.0,10,Atención muy buena
13000000274,1339,1,27.0,7,Tardó un poco más de lo esperado
13000000275,484,1,362.0,10,Todo perfecto
13000000276,948,1,12.0,6,Entrega rápida y producto excelente
13000000277,713,1,327.0,6,Tardó un poco más de lo esperado
13000000278,1466,1,478.0,9,Entrega rápida y producto excelente
13000000279,426,1,533.0,7,Atención muy buena
13000000280,1313,1,429.0,0,Todo perfecto
13000000281,995,1,198.0,4,Muy conforme con la calidad
13000000282,499,1,437.0,8,Tardó un poco más de lo esperado
13000000283,1408,2,432.0,7,Tardó un poco más de lo esperado
13000000284,498,1,436.0,8,Entrega rápida y producto excelente
13000000285,840,1,329.0,6,Muy conforme con la calidad
13000000286,92,1,407.0,9,Tardó un poco más de lo esperado
13000000287,1449,2,645.0,9,Tardó un poco más de lo esperado
13000000288,1129,2,638.0,7,Entrega rápida y producto excelente
13000000289,972,2,332.0,8,
13000000290,260,2,626.0,8,Volvería a comprar
13000000291,683,2,23.0,4,Tardó un poco más de lo esperado
13000000292,1042,1,483.0,2,Volvería a comprar
13000000293,1422,1,67.0,6,Muy conforme con la calidad
13000000294,1347,2,69.0,9,
13000000295,705,2,415.0,8,Muy conforme con la calidad
13000000296,1306,2,537.0,10,Entrega rápida y producto excelente
13000000297,327,2,341.0,0,Entrega rápida y producto excelente
13000000298,1119,1,73.0,5,Podría mejorar el empaque
13000000299,2,1,567.0,10,Muy conforme con la calidad
13000000300,988,1,56.0,8,Podría mejorar el empaque
13000000301,1485,1,555.0,8,Atención muy buena
13000000302,791,1,564.0,8,Volvería a comprar
13000000303,204,1,485.0,9,Podría mejorar el empaque
13000000304,22,2,125.0,8,Entrega rápida y producto excelente
13000000305,510,2,371.0,1,
13000000306,614,2,97.0,9,
13000000307,27,2,357.0,9,Podría mejorar el empaque
13000000308,1319,2,568.0,6,Todo perfecto
13000000309,845,1,322.0,9,Volvería a comprar
13000000310,783,2,561.0,5,Muy conforme con la calidad
13000000311,1350,1,604.0,9,
13000000312,773,1,595.0,7,Todo perfecto
13000000313,1457,1,301.0,4,Tardó un poco más de lo esperado
13000000314,1488,1,287.0,9,Atención muy buena
13000000315,1286,1,248.0,10,Muy conforme con la calidad
13000000316,1306,1,608.0,9,Tardó un poco más de lo esperado
13000000317,397,2,40.0,8,Podría mejorar el empaque
13000000318,341,1,90.0,4,Entrega rápida y producto excelente
13000000319,1475,2,509.0,9,Entrega rápida y producto excelente
13000000320,963,1,43.0,5,Entrega rápida y producto excelente
13000000321,423,1,166.0,9,Todo perfecto
13000000322,1176,2,109.0,9,Entrega rápida y producto excelente
13000000323,1128,2,101.0,8,Tardó un poco más de lo esperado
13000000324,56,1,623.0,8,Todo perfecto
13000000325,389,2,115.0,5,Atención muy buena
13000000326,598,2,452.0,9,Podría mejorar el empaque
13000000327,2,2,154.0,7,Todo perfecto
13000000328,118,2,429.0,8,Volvería a comprar
13000000329,835,1,535.0,10,
13000000330,554,1,307.0,7,Todo perfecto
13000000331,371,1,639.0,10,
13000000332,965,1,526.0,9,Volvería a comprar
13000000333,687,2,412.0,6,Atención muy buena
13000000334,516,1,353.0,9,
13000000335,1295,2,492.0,8,Volvería a comprar
13000000336,660,1,248.0,4,Tardó un poco más de lo esperado
13000000337,838,2,644.0,8,
13000000338,447,2,285.0,8,Atención muy buena
13000000339,1187,2,74.0,4,Volvería a comprar
13000000340,1457,1,548.0,7,Entrega rápida y producto excelente
13000000341,16,1,309.0,7,Podría mejorar el empaque
13000000342,1421,1,172.0,0,Tardó un poco más de lo esperado
13000000343,861,1,226.0,9,Muy conforme con la calidad
13000000344,515,1,282.0,2,Todo perfecto
13000000345,280,1,139.0,10,Entrega rápida y producto excelente
13000000346,829,1,252.0,7,Podría mejorar el empaque
13000000347,1319,1,568.0,10,Entrega rápida y producto excelente
13000000348,682,1,550.0,10,Tardó un poco más de lo esperado
13000000349,649,1,627.0,7,Entrega rápida y producto excelente
13000000350,1041,1,216.0,8,Todo perfecto
13000000351,559,2,294.0,9,Tardó un poco más de lo esperado
13000000352,1187,2,561.0,9,Muy conforme con la calidad
13000000353,786,1,465.0,6,Todo perfecto
13000000354,1104,1,420.0,6,Todo perfecto
13000000355,505,2,577.0,4,Volvería a comprar
13000000356,436,1,318.0,0,Atención muy buena
13000000357,366,1,595.0,5,Atención muy buena
13000000358,829,2,138.0,8,Tardó un poco más de lo esperado
13000000359,570,1,102.0,5,Atención muy buena
13000000360,573,2,104.0,10,Entrega rápida y producto excelente
13000000361,63,1,104.0,8,Todo perfecto
13000000362,140,1,489.0,10,Muy conforme con la calidad
13000000363,650,2,67.0,9,Volvería a comprar
13000000364,558,1,150.0,7,Volvería a comprar
13000000365,498,2,139.0,9,
13000000366,1337,2,148.0,10,Podría mejorar el empaque
13000000367,192,1,462.0,9,Volvería a comprar
13000000368,523,1,281.0,1,Tardó un poco más de lo esperado
13000000369,1009,1,492.0,5,Entrega rápida y producto excelente
13000000370,1079,1,435.0,8,Atención muy buena
13000000371,809,1,516.0,9,Podría mejorar el empaque
13000000372,332,1,36.0,8,Atención muy buena
13000000373,397,1,315.0,8,Tardó un poco más de lo esperado
13000000374,950,2,43.0,8,Tardó un poco más de lo esperado
13000000375,950,1,362.0,10,Todo perfecto
13000000376,1071,1,70.0,7,Tardó un poco más de lo esperado
13000000377,27,1,223.0,5,Atención muy buena
13000000378,1063,1,146.0,5,Muy conforme con la calidad
13000000379,930,1,222.0,10,Atención muy buena
13000000380,1435,2,319.0,1,Podría mejorar el empaque
13000000381,258,2,99.0,10,Atención muy buena
13000000382,847,1,42.0,4,Volvería a comprar
13000000383,921,2,245.0,10,Muy conforme con la calidad
13000000384,1231,1,377.0,7,Tardó un poco más de lo esperado
13000000385,292,1,512.0,10,Podría mejorar el empaque
13000000386,325,2,293.0,3,Volvería a comprar
13000000387,921,2,436.0,3,Atención muy buena
13000000388,248,1,510.0,2,
13000000389,754,1,224.0,8,
13000000390,708,1,113.0,9,
13000000391,48,1,491.0,6,Podría mejorar el empaque
13000000392,786,2,126.0,5,Atención muy buena
13000000393,382,1,171.0,4,
13000000394,895,1,411.0,6,Tardó un poco más de lo esperado
13000000395,821,1,408.0,7,Entrega rápida y producto excelente
13000000396,1032,1,75.0,9,Todo perfecto
13000000397,1262,1,496.0,1,Todo perfecto
13000000398,153,1,234.0,9,Muy conforme con la calidad
13000000399,816,1,582.0,1,Todo perfecto
13000000400,237,1,38.0,7,Todo perfecto
13000000401,589,2,91.0,10,Podría mejorar el empaque
13000000402,249,2,592.0,6,Atención muy buena
13000000403,1130,2,349.0,2,Volvería a comprar
13000000404,455,1,540.0,3,Volvería a comprar
13000000405,1306,1,448.0,0,Podría mejorar el empaque
13000000406,1359,1,332.0,9,Atención muy buena
13000000407,696,1,262.0,7,Volvería a comprar
13000000408,867,1,250.0,7,Todo perfecto
13000000409,690,1,306.0,10,Podría mejorar el empaque
13000000410,14,1,441.0,7,Volvería a comprar
13000000411,259,2,347.0,2,
13000000412,334,1,23.0,3,Todo perfecto
13000000413,574,1,203.0,9,Todo perfecto
13000000414,716,1,151.0,10,Volvería a comprar
13000000415,204,2,351.0,8,Todo perfecto
13000000416,624,2,537.0,10,Volvería a comprar
13000000417,535,1,232.0,9,Volvería a comprar
13000000418,522,1,223.0,7,Entrega rápida y producto excelente
13000000419,589,1,471.0,9,Tardó un poco más de lo esperado
13000000420,1485,1,378.0,9,Muy conforme con la calidad
13000000421,544,1,237.0,9,Volvería a comprar
13000000422,253,1,370.0,9,Atención muy buena
13000000423,520,1,190.0,8,Podría mejorar el empaque
13000000424,1339,1,413.0,8,Volvería a comprar
13000000425,800,1,131.0,10,Tardó un poco más de lo esperado
13000000426,782,2,185.0,9,Entrega rápida y producto excelente
13000000427,488,2,609.0,3,Tardó un poco más de lo esperado
13000000428,1074,1,409.0,6,Todo perfecto
13000000429,789,2,361.0,9,Muy conforme con la calidad
13000000430,951,1,527.0,3,Tardó un poco más de lo esperado
13000000431,1210,1,462.0,8,
13000000432,977,2,480.0,3,Volvería a comprar
13000000433,489,2,603.0,8,Tardó un poco más de lo esperado
13000000434,1192,2,161.0,9,Entrega rápida y producto excelente
13000000435,1461,2,285.0,5,Volvería a comprar
13000000436,28,1,561.0,6,Volvería a comprar
13000000437,459,2,196.0,9,
13000000438,756,1,131.0,2,Entrega rápida y producto excelente
13000000439,1495,1,22.0,8,Podría mejorar el empaque
13000000440,584,1,67.0,7,Todo perfecto
13000000441,703,1,644.0,2,Atención muy buena
13000000442,1309,2,21.0,7,Atención muy buena
13000000443,323,2,518.0,7,Muy conforme con la calidad
13000000444,90,1,602.0,8,Muy conforme con la calidad
13000000445,761,1,379.0,5,Tardó un poco más de lo esperado
13000000446,999,1,482.0,9,
13000000447,85,1,461.0,9,Entrega rápida y producto excelente
13000000448,405,1,572.0,8,Podría mejorar el empaque
13000000449,336,2,329.0,2,Muy conforme con la calidad
13000000450,179,1,189.0,9,Entrega rápida y producto excelente
13000000451,682,2,127.0,8,Entrega rápida y producto excelente
13000000452,862,2,520.0,8,Tardó un poco más de lo esperado
13000000453,1218,1,472.0,5,Todo perfecto
13000000454,31,1,527.0,7,Todo perfecto
13000000455,154,1,436.0,10,
13000000456,1049,2,573.0,10,Podría mejorar el empaque
13000000457,586,1,524.0,10,Atención muy buena
13000000458,425,2,251.0,10,Volvería a comprar
13000000459,1235,1,72.0,8,Podría mejorar el empaque
13000000460,52,1,143.0,10,Tardó un poco más de lo esperado
13000000461,78,2,374.0,3,Entrega rápida y producto excelente
13000000462,405,1,350.0,7,Entrega rápida y producto excelente
13000000463,381,2,524.0,7,Podría mejorar el empaque
13000000464,284,1,276.0,10,Podría mejorar el empaque
13000000465,867,1,113.0,0,Tardó un poco más de lo esperado
13000000466,626,1,259.0,8,
13000000467,195,1,334.0,9,Entrega rápida y producto excelente
13000000468,467,1,156.0,7,Tardó un poco más de lo esperado
13000000469,1107,2,427.0,7,Tardó un poco más de lo esperado
13000000470,580,1,25.0,8,Muy conforme con la calidad
13000000471,942,2,93.0,7,Todo perfecto
13000000472,1354,2,545.0,10,Podría mejorar el empaque
13000000473,540,1,40.0,4,Muy conforme con la calidad
13000000474,1161,1,570.0,6,Entrega rápida y producto excelente
13000000475,895,1,587.0,8,Todo perfecto
13000000476,399,1,198.0,6,
13000000477,77,1,586.0,10,Tardó un poco más de lo esperado
13000000478,754,2,605.0,0,
13000000479,1253,1,231.0,7,Podría mejorar el empaque
13000000480,1117,1,199.0,6,Muy conforme con la calidad
13000000481,413,1,569.0,6,Volvería a comprar
13000000482,40,2,525.0,8,Atención muy buena
13000000483,403,1,283.0,1,Entrega rápida y producto excelente
13000000484,1482,1,240.0,6,Todo perfecto
13000000485,790,1,357.0,9,Podría mejorar el empaque
13000000486,891,1,235.0,0,Entrega rápida y producto excelente
13000000487,819,2,528.0,7,Muy conforme con la calidad
13000000488,474,2,134.0,9,
13000000489,1332,1,464.0,8,Entrega rápida y producto excelente
13000000490,305,1,577.0,4,Todo perfecto
13000000491,400,2,101.0,7,Atención muy buena
13000000492,415,2,334.0,9,Todo perfecto
13000000493,739,2,17.0,9,Tardó un poco más de lo esperado
13000000494,45,1,351.0,4,Muy conforme con la calidad
13000000495,584,2,92.0,8,Todo perfecto
13000000496,305,1,439.0,9,Entrega rápida y producto excelente
13000000497,1061,2,606.0,4,Volvería a comprar
13000000498,1051,2,476.0,9,Todo perfecto
13000000499,981,1,596.0,8,Podría mejorar el empaque
13000000500,381,1,27.0,7,Entrega rápida y producto excelente
13000000501,866,1,139.0,2,Tardó un poco más de lo esperado
13000000502,323,1,156.0,9,Podría mejorar el empaque
13000000503,1223,2,125.0,8,Muy conforme con la calidad
13000000504,728,2,547.0,3,Podría mejorar el empaque
13000000505,176,1,144.0,8,Muy conforme con la calidad
13000000506,620,1,87.0,3,Atención muy buena
13000000507,11,2,319.0,8,Atención muy buena
13000000508,866,1,641.0,5,Podría mejorar el empaque
13000000509,609,1,17.0,9,Volvería a comprar
13000000510,662,1,407.0,6,Entrega rápida y producto excelente
13000000511,1304,2,446.0,3,Podría mejorar el empaque
13000000512,1358,1,298.0,5,Entrega rápida y producto excelente
13000000513,1396,2,277.0,8,Tardó un poco más de lo esperado
13000000514,921,1,336.0,7,Todo perfecto
13000000515,193,2,85.0,9,Todo perfecto
13000000516,1366,1,432.0,7,Podría mejorar el empaque
13000000517,4,2,364.0,8,
13000000518,373,1,93.0,4,Entrega rápida y producto excelente
13000000519,3,2,534.0,10,Todo perfecto
13000000520,156,2,539.0,2,Muy conforme con la calidad
13000000521,1274,2,635.0,6,Muy conforme con la calidad
13000000522,1200,1,481.0,9,Volvería a comprar
13000000523,1271,2,65.0,9,Podría mejorar el empaque
13000000524,1089,1,531.0,10,Todo perfecto
13000000525,1399,2,618.0,9,Entrega rápida y producto excelente
13000000526,20,1,190.0,8,Volvería a comprar
13000000527,874,2,347.0,9,Atención muy buena
13000000528,919,2,292.0,7,Tardó un poco más de lo esperado
13000000529,885,1,581.0,9,Podría mejorar el empaque
13000000530,123,2,231.0,2,Muy conforme con la calidad
13000000531,301,1,226.0,10,Todo perfecto
13000000532,1172,1,268.0,5,Todo perfecto
13000000533,1334,2,236.0,7,Todo perfecto
13000000534,1462,2,600.0,3,Volvería a comprar
13000000535,1393,2,344.0,8,Atención muy buena
13000000536,1220,1,114.0,10,Todo perfecto
13000000537,1355,1,467.0,0,Podría mejorar el empaque
13000000538,27,2,14.0,8,Tardó un poco más de lo esperado
13000000539,921,1,183.0,3,Volvería a comprar
13000000540,1469,2,76.0,9,Volvería a comprar
13000000541,1228,1,546.0,9,Muy conforme con la calidad
13000000542,1123,2,147.0,7,Tardó un poco más de lo esperado
13000000543,125,1,616.0,8,Entrega rápida y producto excelente
13000000544,476,1,291.0,9,
13000000545,833,1,533.0,5,Volvería a comprar
13000000546,253,1,80.0,10,Muy conforme con la calidad
13000000547,398,1,237.0,9,Podría mejorar el empaque
