shipment_sk,shipped_date_sk,delivered_date_sk,customer_sk,channel_sk,store_sk,ship_addr_sk,status,carrier,tracking_number
99,383,388,520,1,,2447,DELIVERED,Correo Argentino,TRK-N1XL8YRR4C
100,59,63,258,1,,228,DELIVERED,Correo Argentino,TRK-HUON3QASLA
101,,,467,1,,1889,CANCELLED,Correo Argentino,
102,91,96,3,1,,223,SHIPPED,Correo Argentino,TRK-BD9O45FG3M
103,325,329,334,1,,2867,DELIVERED,Correo Argentino,TRK-RBXP2IU4CP
104,85,86,802,2,3,3,READY,PICKUP,
105,84,88,999,1,,3052,DELIVERED,Correo Argentino,TRK-TPWY0TUZG2
106,134,137,176,1,,2444,DELIVERED,Correo Argentino,TRK-3BQ6FWSKLW
107,406,408,801,1,,2960,DELIVERED,Correo Argentino,TRK-6DCLEDO515
108,144,149,1113,1,,1947,DELIVERED,Correo Argentino,TRK-RB1W0XWXVT
109,551,552,810,2,4,4,DELIVERED,PICKUP,
110,113,114,581,2,4,4,DELIVERED,PICKUP,
111,,,1284,2,2,2,CANCELLED,PICKUP,
112,356,360,1333,1,,1880,DELIVERED,Correo Argentino,TRK-UXV2O2QSZO
113,425,426,24,2,2,2,SHIPPED,PICKUP,
114,,,1222,2,1,1,CANCELLED,PICKUP,
115,261,262,63,2,1,1,SHIPPED,PICKUP,
116,51,53,1078,1,,3,DELIVERED,Correo Argentino,TRK-9SFI30M85Y
117,184,187,1091,1,,2613,DELIVERED,Correo Argentino,TRK-GCUU54HEAG
118,386,389,524,1,,1258,DELIVERED,Correo Argentino,TRK-YVM19QXR2C
119,595,597,1229,1,,2394,DELIVERED,Correo Argentino,TRK-JRBNVL0OS3
120,563,564,458,2,4,4,DELIVERED,PICKUP,
121,110,112,68,1,,1657,DELIVERED,Correo Argentino,TRK-YMYMMHLK1B
122,355,356,959,2,4,4,DELIVERED,PICKUP,
123,608,609,356,2,1,1,DELIVERED,PICKUP,
124,,,530,1,,5,CANCELLED,Correo Argentino,
125,38,42,1420,1,,3008,DELIVERED,Correo Argentino,TRK-OUKA4E7YCS
126,191,192,279,2,3,3,DELIVERED,PICKUP,
127,164,165,779,2,3,3,DELIVERED,PICKUP,
128,60,64,1383,1,,2117,DELIVERED,Correo Argentino,TRK-LP15TFTZWC
129,,,1189,1,,1356,CANCELLED,Correo Argentino,
130,627,630,1016,1,,3040,DELIVERED,Correo Argentino,TRK-OTE0Q32RV2
131,507,508,595,2,3,3,SHIPPED,PICKUP,
132,25,26,902,2,4,4,DELIVERED,PICKUP,
133,209,214,317,1,,2546,DELIVERED,Correo Argentino,TRK-ZK0XF0TEFY
134,166,167,1229,2,2,2,DELIVERED,PICKUP,
135,6,7,279,2,3,3,DELIVERED,PICKUP,
136,151,152,1498,2,4,4,SHIPPED,PICKUP,
137,387,391,140,1,,1773,DELIVERED,Correo Argentino,TRK-SB9FYY9V3Z
138,321,326,1115,1,,2545,SHIPPED,Correo Argentino,TRK-8EM2BGA7SC
139,4,8,1240,1,,1704,SHIPPED,Correo Argentino,TRK-W6GIOKOQS8
140,98,103,590,1,,1036,DELIVERED,Correo Argentino,TRK-Q8P6U5PS47
141,414,415,645,2,3,3,DELIVERED,PICKUP,
142,335,336,545,2,1,1,DELIVERED,PICKUP,
143,543,545,1208,1,,1955,DELIVERED,Correo Argentino,TRK-AT0A573HXB
144,158,159,551,2,1,1,DELIVERED,PICKUP,
145,,,569,2,1,1,CANCELLED,PICKUP,
146,567,571,1305,1,,3178,DELIVERED,Correo Argentino,TRK-5WJ0VSGHJU
147,127,132,280,1,,2731,DELIVERED,Correo Argentino,TRK-XNALT4U6O3
148,343,348,1338,1,,1472,DELIVERED,Correo Argentino,TRK-TVS9QKJFPY
149,539,542,84,1,,2447,DELIVERED,Correo Argentino,TRK-IAC72SYOJT
150,388,393,655,1,,1117,DELIVERED,Correo Argentino,TRK-86P5XH4ZUZ
151,516,517,513,2,4,4,DELIVERED,PICKUP,
152,107,108,884,2,3,3,DELIVERED,PICKUP,
153,8,9,385,2,2,2,DELIVERED,PICKUP,
154,,,723,2,2,2,CANCELLED,PICKUP,
155,183,184,110,2,1,1,SHIPPED,PICKUP,
156,44,48,1197,1,,3125,DELIVERED,Correo Argentino,TRK-MPCEM8ML7K
157,303,304,833,2,2,2,DELIVERED,PICKUP,
158,,,371,2,3,3,CANCELLED,PICKUP,
159,115,116,905,2,1,1,DELIVERED,PICKUP,
160,197,202,389,1,,307,DELIVERED,Correo Argentino,TRK-7LRC6G1HAV
161,165,166,1299,2,4,4,DELIVERED,PICKUP,
162,296,300,725,1,,2912,DELIVERED,Correo Argentino,TRK-ZU6O2A2X17
163,578,579,645,2,4,4,SHIPPED,PICKUP,
164,56,60,584,1,,136,DELIVERED,Correo Argentino,TRK-U6UA2YY3HB
165,420,422,436,1,,2762,DELIVERED,Correo Argentino,TRK-TMG2PU2NU4
166,606,610,293,1,,2361,DELIVERED,Correo Argentino,TRK-D8V0DBNSG3
167,575,577,1065,1,,2496,DELIVERED,Correo Argentino,TRK-TTEUGQV2X2
168,,,1234,1,,2706,CANCELLED,Correo Argentino,
169,,,400,1,,2527,CANCELLED,Correo Argentino,
170,191,196,251,1,,1329,DELIVERED,Correo Argentino,TRK-NM8H174TJH
171,89,90,764,2,4,4,SHIPPED,PICKUP,
172,425,428,1490,1,,2557,READY,Correo Argentino,TRK-GZTE0MZNMX
173,129,133,181,1,,1805,DELIVERED,Correo Argentino,TRK-DGOJGP2GBU
174,534,539,693,1,,1635,DELIVERED,Correo Argentino,TRK-VBAXIAQJKB
175,251,252,672,2,2,2,DELIVERED,PICKUP,
176,153,156,786,1,,2161,SHIPPED,Correo Argentino,TRK-WD62JC0VLK
177,422,423,1347,2,2,2,DELIVERED,PICKUP,
178,329,332,628,1,,868,DELIVERED,Correo Argentino,TRK-TSU2MSGQGV
179,489,490,1485,2,2,2,SHIPPED,PICKUP,
180,591,594,805,1,,2735,DELIVERED,Correo Argentino,TRK-DOH59G5HG5
181,143,145,445,1,,753,DELIVERED,Correo Argentino,TRK-WTK41NS6CW
182,318,320,560,1,,83,DELIVERED,Correo Argentino,TRK-2HK5GYIMQ5
183,253,260,403,1,,2607,DELIVERED,Correo Argentino,TRK-3VO06V5F4C
184,300,301,693,2,1,1,SHIPPED,PICKUP,
185,497,498,274,2,2,2,SHIPPED,PICKUP,
186,201,206,804,1,,944,DELIVERED,Correo Argentino,TRK-XVT3OPQZDN
187,213,215,1495,1,,1364,DELIVERED,Correo Argentino,TRK-6LCGCSEFEL
188,409,410,48,2,1,1,DELIVERED,PICKUP,
189,601,602,661,2,3,3,DELIVERED,PICKUP,
190,124,126,984,1,,1812,SHIPPED,Correo Argentino,TRK-MZ7KO0QL4T
191,158,163,1384,1,,1972,SHIPPED,Correo Argentino,TRK-X696GHSKZW
192,,,788,1,,206,CANCELLED,Correo Argentino,
193,68,69,456,2,2,2,SHIPPED,PICKUP,
194,47,50,427,1,,695,DELIVERED,Correo Argentino,TRK-N0C9SM2QFJ
195,623,628,866,1,,2574,DELIVERED,Correo Argentino,TRK-7MYF01NWQ1
196,426,430,371,1,,600,DELIVERED,Correo Argentino,TRK-5950NTLRAC
197,593,595,1000,1,,1384,DELIVERED,Correo Argentino,TRK-3RJ4BIOHK0
198,101,103,1404,1,,795,DELIVERED,Correo Argentino,TRK-M0DL4YCPUU
199,35,38,1159,1,,788,DELIVERED,Correo Argentino,TRK-XPU46U15UT
200,445,450,1040,1,,2797,DELIVERED,Correo Argentino,TRK-O91D35I9X4
201,270,273,464,1,,2537,DELIVERED,Correo Argentino,TRK-LSZKZN0LYI
202,322,325,166,1,,2941,DELIVERED,Correo Argentino,TRK-WPOOZWRSXF
203,452,453,1056,2,3,3,DELIVERED,PICKUP,
204,322,323,925,2,3,3,DELIVERED,PICKUP,
205,,,488,1,,257,CANCELLED,Correo Argentino,
206,275,279,903,1,,898,DELIVERED,Correo Argentino,TRK-Q495C57TPW
207,574,578,70,1,,1092,SHIPPED,Correo Argentino,TRK-YOZRB7EYB4
208,494,496,1459,1,,1330,DELIVERED,Correo Argentino,TRK-MXL244VRBJ
209,467,468,500,2,2,2,DELIVERED,PICKUP,
210,460,462,361,1,,1297,DELIVERED,Correo Argentino,TRK-QS7JP1ILRI
211,446,448,476,1,,2590,DELIVERED,Correo Argentino,TRK-HMK0UFUCGU
212,566,567,1400,2,1,1,DELIVERED,PICKUP,
213,416,420,945,1,,886,DELIVERED,Correo Argentino,TRK-EI5CQOM3OQ
214,108,111,1443,1,,900,DELIVERED,Correo Argentino,TRK-JVXGL1QGOU
215,202,204,1430,1,,2687,DELIVERED,Correo Argentino,TRK-3LP62TMLP0
216,30,34,1330,1,,1579,DELIVERED,Correo Argentino,TRK-W5E1QML5MQ
217,497,502,274,1,,506,DELIVERED,Correo Argentino,TRK-AYM9Q11ZOD
218,96,97,1251,2,2,2,DELIVERED,PICKUP,
219,187,191,176,1,,550,DELIVERED,Correo Argentino,TRK-CP4OTN8HPB
220,164,165,42,2,2,2,SHIPPED,PICKUP,
221,631,635,582,1,,1933,DELIVERED,Correo Argentino,TRK-C1TLW78F6M
222,493,494,4,2,1,1,DELIVERED,PICKUP,
223,243,244,569,2,2,2,DELIVERED,PICKUP,
224,359,360,157,2,1,1,SHIPPED,PICKUP,
225,448,450,649,1,,311,DELIVERED,Correo Argentino,TRK-E3PPMBLC09
226,584,588,1230,1,,1403,DELIVERED,Correo Argentino,TRK-JVVF010AIA
227,199,204,197,1,,2867,DELIVERED,Correo Argentino,TRK-JJUIDCE74A
228,200,202,731,1,,2594,DELIVERED,Correo Argentino,TRK-GSHXM42YVK
229,453,457,506,1,,2647,DELIVERED,Correo Argentino,TRK-INJV5S1HHW
230,,,751,2,2,2,CANCELLED,PICKUP,
231,365,370,485,1,,1341,DELIVERED,Correo Argentino,TRK-9MRQVD7X1J
232,161,163,823,1,,57,SHIPPED,Correo Argentino,TRK-YP7VNSGOLC
233,419,423,680,1,,1497,SHIPPED,Correo Argentino,TRK-DZYUMNQIZK
234,325,327,417,1,,2093,DELIVERED,Correo Argentino,TRK-BP8B1VFO0G
235,515,520,677,1,,2205,DELIVERED,Correo Argentino,TRK-4Z78IY664L
236,,,1327,2,2,2,CANCELLED,PICKUP,
237,370,371,593,2,1,1,DELIVERED,PICKUP,
238,319,320,606,2,1,1,DELIVERED,PICKUP,
239,447,448,137,2,2,2,SHIPPED,PICKUP,
240,52,57,487,1,,1637,DELIVERED,Correo Argentino,TRK-6QXN6I8BLI
241,295,300,909,1,,2066,DELIVERED,Correo Argentino,TRK-X7LOFOLANG
242,285,286,179,2,1,1,DELIVERED,PICKUP,
243,,,183,1,,2017,CANCELLED,Correo Argentino,
244,526,530,536,1,,827,DELIVERED,Correo Argentino,TRK-36SR7I0SAS
245,257,258,1341,2,1,1,DELIVERED,PICKUP,
246,494,495,378,2,1,1,DELIVERED,PICKUP,
247,,,548,1,,537,CANCELLED,Correo Argentino,
248,338,343,757,1,,3131,DELIVERED,Correo Argentino,TRK-F075G514A9
249,300,301,522,2,4,4,DELIVERED,PICKUP,
250,110,111,1384,2,3,3,DELIVERED,PICKUP,
251,266,270,473,1,,843,DELIVERED,Correo Argentino,TRK-PUN6EN1KQ1
252,75,76,1316,2,3,3,DELIVERED,PICKUP,
253,62,63,1356,2,1,1,DELIVERED,PICKUP,
254,480,485,266,1,,1464,DELIVERED,Correo Argentino,TRK-TSK3A0YQ6W
255,287,288,1359,2,2,2,DELIVERED,PICKUP,
256,227,231,843,1,,2933,DELIVERED,Correo Argentino,TRK-8BWQRUEYS2
257,276,280,599,1,,105,DELIVERED,Correo Argentino,TRK-RVD511UODZ
258,516,517,1048,2,1,1,DELIVERED,PICKUP,
259,362,364,319,1,,3048,DELIVERED,Correo Argentino,TRK-KXPDA6C6W5
260,614,617,846,1,,975,DELIVERED,Correo Argentino,TRK-20HMH74UZ5
261,348,351,1491,1,,2539,DELIVERED,Correo Argentino,TRK-XYI1O46MZJ
262,593,595,79,1,,1366,DELIVERED,Correo Argentino,TRK-D0N515YRWY
263,324,329,748,1,,3055,DELIVERED,Correo Argentino,TRK-97AXUHZD9O
264,367,370,537,1,,3146,SHIPPED,Correo Argentino,TRK-FYNETUY56H
265,597,598,303,2,2,2,SHIPPED,PICKUP,
266,119,124,1065,1,,1757,DELIVERED,Correo Argentino,TRK-2JRCHT1TPG
267,494,496,606,1,,1858,DELIVERED,Correo Argentino,TRK-VA6AR1AR6U
268,61,65,553,1,,1632,DELIVERED,Correo Argentino,TRK-QI2WJJ807C
269,,,656,1,,361,CANCELLED,Correo Argentino,
270,,,786,1,,1402,CANCELLED,Correo Argentino,
271,47,48,663,2,1,1,DELIVERED,PICKUP,
272,44,49,833,1,,1297,DELIVERED,Correo Argentino,TRK-9Q7IVQHXSI
273,300,305,844,1,,1061,DELIVERED,Correo Argentino,TRK-WZYFMQFKIL
274,62,64,720,1,,353,DELIVERED,Correo Argentino,TRK-N0MWFS58BQ
275,272,273,169,2,1,1,DELIVERED,PICKUP,
276,174,178,969,1,,1858,DELIVERED,Correo Argentino,TRK-UQI62K3L0W
277,512,513,268,2,4,4,SHIPPED,PICKUP,
278,288,289,122,2,1,1,DELIVERED,PICKUP,
279,430,435,617,1,,2841,DELIVERED,Correo Argentino,TRK-KFFN16DB0I
280,,,608,1,,2268,CANCELLED,Correo Argentino,
281,202,203,732,2,1,1,DELIVERED,PICKUP,
282,437,441,211,1,,2122,DELIVERED,Correo Argentino,TRK-72W7RNTWXW
283,364,367,475,1,,1567,DELIVERED,Correo Argentino,TRK-V20K9JX42E
284,569,573,949,1,,2712,DELIVERED,Correo Argentino,TRK-AGYGGFMNUF
285,69,70,426,2,2,2,DELIVERED,PICKUP,
286,,,386,1,,1443,CANCELLED,Correo Argentino,
287,194,197,500,1,,2067,DELIVERED,Correo Argentino,TRK-2HRWR931OS
288,534,535,677,2,1,1,SHIPPED,PICKUP,
289,398,399,33,2,1,1,SHIPPED,PICKUP,
290,,,194,1,,3137,CANCELLED,Correo Argentino,
291,310,314,78,1,,2789,DELIVERED,Correo Argentino,TRK-OZ5CUWXG8T
292,292,298,102,1,,1996,SHIPPED,Correo Argentino,TRK-40OOBAGXKK
293,485,486,1072,2,4,4,SHIPPED,PICKUP,
294,600,604,754,1,,1359,SHIPPED,Correo Argentino,TRK-TTMA008WBG
295,,,195,1,,1152,CANCELLED,Correo Argentino,
296,452,453,862,2,4,4,DELIVERED,PICKUP,
297,180,181,240,2,2,2,SHIPPED,PICKUP,
298,589,590,682,2,1,1,DELIVERED,PICKUP,
299,309,310,849,2,1,1,DELIVERED,PICKUP,
300,127,128,807,2,3,3,DELIVERED,PICKUP,
301,325,327,901,1,,1279,DELIVERED,Correo Argentino,TRK-H5EYQT4XS3
302,128,133,61,1,,371,SHIPPED,Correo Argentino,TRK-KX9CE5R5X7
303,,,1082,1,,1272,CANCELLED,Correo Argentino,
304,76,77,1286,2,3,3,SHIPPED,PICKUP,
305,76,80,1416,1,,1942,DELIVERED,Correo Argentino,TRK-WR4IJI934Q
306,470,474,979,1,,2689,DELIVERED,Correo Argentino,TRK-GA0XMVRUST
307,121,124,800,1,,969,DELIVERED,Correo Argentino,TRK-83QUV5F3FI
308,257,262,800,1,,3193,DELIVERED,Correo Argentino,TRK-5G2YLFVGPI
309,88,91,757,1,,1366,SHIPPED,Correo Argentino,TRK-OYGHVQIZD8
310,,,1194,2,1,1,CANCELLED,PICKUP,
311,371,373,673,1,,1712,DELIVERED,Correo Argentino,TRK-71ZKV4IASM
312,373,374,1266,2,2,2,SHIPPED,PICKUP,
313,420,421,7,2,2,2,DELIVERED,PICKUP,
314,505,506,1040,2,3,3,DELIVERED,PICKUP,
315,290,293,873,1,,2430,DELIVERED,Correo Argentino,TRK-R04JCRW9A8
316,492,495,1336,1,,2185,DELIVERED,Correo Argentino,TRK-UVM6N6PWE3
317,483,484,708,2,1,1,DELIVERED,PICKUP,
318,230,234,380,1,,742,DELIVERED,Correo Argentino,TRK-5C5MWBWACJ
319,280,281,634,2,4,4,SHIPPED,PICKUP,
320,112,114,578,1,,2483,DELIVERED,Correo Argentino,TRK-MA57CRCPJ8
321,597,601,1479,1,,517,DELIVERED,Correo Argentino,TRK-DXIS15425W
322,581,584,1399,1,,3181,DELIVERED,Correo Argentino,TRK-XK02RA81RX
323,325,326,522,2,4,4,DELIVERED,PICKUP,
324,457,458,247,2,1,1,DELIVERED,PICKUP,
325,377,378,96,2,4,4,DELIVERED,PICKUP,
326,288,289,798,2,2,2,DELIVERED,PICKUP,
327,169,174,21,1,,2820,DELIVERED,Correo Argentino,TRK-P5JG6V39HM
328,376,379,1236,1,,1160,DELIVERED,Correo Argentino,TRK-MDVMWTRSHR
329,408,412,130,1,,2634,DELIVERED,Correo Argentino,TRK-PJI9TT96J6
330,76,79,169,1,,1195,DELIVERED,Correo Argentino,TRK-TKIZIWWL0A
331,349,350,973,2,2,2,DELIVERED,PICKUP,
332,360,363,1449,1,,1764,DELIVERED,Correo Argentino,TRK-4K0RCSFKJZ
333,627,630,210,1,,2680,SHIPPED,Correo Argentino,TRK-8DHCBZCXQU
334,,,737,1,,2292,CANCELLED,Correo Argentino,
335,494,498,1350,1,,1059,SHIPPED,Correo Argentino,TRK-ITBJQCU49B
336,42,46,170,1,,1428,DELIVERED,Correo Argentino,TRK-OJCVJ0S121
337,202,206,217,1,,1796,DELIVERED,Correo Argentino,TRK-0W710RWTCM
338,257,259,254,1,,2438,DELIVERED,Correo Argentino,TRK-PCJPUF7VXQ
339,83,85,1400,1,,1653,DELIVERED,Correo Argentino,TRK-PRYVF3TIVE
340,,,1213,1,,2202,CANCELLED,Correo Argentino,
341,219,221,1410,1,,3049,DELIVERED,Correo Argentino,TRK-4TFRX245GB
342,356,357,128,2,2,2,DELIVERED,PICKUP,
343,281,285,499,1,,601,DELIVERED,Correo Argentino,TRK-3TH5619XPL
344,225,227,494,1,,2683,DELIVERED,Correo Argentino,TRK-W803CQEXUF
345,206,208,755,1,,2503,SHIPPED,Correo Argentino,TRK-PMIAY8MLNC
346,123,125,518,1,,2592,DELIVERED,Correo Argentino,TRK-90NLU6H2FO
347,437,438,1171,2,4,4,SHIPPED,PICKUP,
348,232,234,1261,1,,1440,DELIVERED,Correo Argentino,TRK-N1V96NIX9T
349,320,321,468,2,4,4,DELIVERED,PICKUP,
350,243,246,503,1,,2651,DELIVERED,Correo Argentino,TRK-H5BQD2UGQB
351,78,79,1073,2,3,3,DELIVERED,PICKUP,
352,124,125,997,2,1,1,DELIVERED,PICKUP,
353,414,419,435,1,,2445,DELIVERED,Correo Argentino,TRK-CDC9YPP0KL
354,494,495,1401,2,4,4,DELIVERED,PICKUP,
355,496,501,202,1,,1194,DELIVERED,Correo Argentino,TRK-OET37PJ6JA
356,345,350,920,1,,173,DELIVERED,Correo Argentino,TRK-WBXD9JIFZ7
357,523,526,1101,1,,1472,DELIVERED,Correo Argentino,TRK-R7Z3UORWAO
358,61,65,305,1,,1215,DELIVERED,Correo Argentino,TRK-4E0RK1Y2AX
359,556,558,268,1,,2817,DELIVERED,Correo Argentino,TRK-3DYJXM8OG9
360,191,192,636,2,3,3,DELIVERED,PICKUP,
361,267,268,736,2,4,4,DELIVERED,PICKUP,
362,386,389,938,1,,227,DELIVERED,Correo Argentino,TRK-XKUAQ6XCBU
363,228,232,356,1,,2341,SHIPPED,Correo Argentino,TRK-130IYMN8X9
364,160,163,544,1,,406,DELIVERED,Correo Argentino,TRK-CDCOWDXCJ1
365,596,597,952,2,2,2,SHIPPED,PICKUP,
366,599,603,1016,1,,398,DELIVERED,Correo Argentino,TRK-QZUSOFVD2M
367,563,568,1183,1,,449,DELIVERED,Correo Argentino,TRK-04NWF222GT
368,476,479,1154,1,,1665,DELIVERED,Correo Argentino,TRK-0QU3G58K4N
369,,,1056,1,,2061,CANCELLED,Correo Argentino,
370,346,347,666,2,1,1,DELIVERED,PICKUP,
371,596,597,1010,2,2,2,DELIVERED,PICKUP,
372,16,20,977,1,,669,DELIVERED,Correo Argentino,TRK-QPX17NQGFX
373,235,237,172,1,,1165,SHIPPED,Correo Argentino,TRK-L15FV8ZC6P
374,50,52,1179,1,,962,SHIPPED,Correo Argentino,TRK-V9OB7NBQW3
375,470,471,1048,2,2,2,DELIVERED,PICKUP,
