order_sk,order_date_sk,customer_sk,channel_sk,store_sk,ship_addr_sk,bill_addr_sk,status,currency_code,subtotal,tax_amount,shipping_fee,total_amount
79,375,814,1,,2367,374,FULFILLED,ARS,40650.0,8536.5,0.0,49186.5
80,625,1189,1,,840,2306,PAID,ARS,32400.0,6804.0,1200.0,40404.0
81,316,584,1,,69,2170,FULFILLED,ARS,14700.0,3087.0,900.0,18687.0
82,399,1433,1,,953,2160,FULFILLED,ARS,52800.0,11088.0,900.0,64788.0
83,630,670,1,,3103,2091,FULFILLED,ARS,34200.0,7182.0,1200.0,42582.0
84,41,464,1,,842,2869,REFUNDED,ARS,38100.0,8001.0,1200.0,47301.0
85,330,535,1,,153,,PAID,ARS,15000.0,3150.0,900.0,19050.0
86,426,655,1,,2185,2539,FULFILLED,ARS,12348.0,2593.08,1500.0,16441.08
87,596,833,1,,2251,855,FULFILLED,ARS,10800.0,2268.0,1200.0,14268.0
88,348,490,1,,1449,1319,CANCELLED,ARS,11400.0,2394.0,1200.0,14994.0
89,34,360,1,,1460,104,FULFILLED,ARS,56400.0,11844.0,900.0,69144.0
90,535,1227,1,,1176,2146,FULFILLED,ARS,14250.0,2992.5,1200.0,18442.5
91,27,624,1,,38,2890,FULFILLED,ARS,36825.0,7733.25,900.0,45458.25
92,48,228,1,,2302,1743,FULFILLED,ARS,91192.5,19150.42,0.0,110342.92
93,165,770,1,,776,530,FULFILLED,ARS,30000.0,6300.0,900.0,37200.0
94,319,54,2,2,2,2329,FULFILLED,ARS,84675.0,17781.75,0.0,102456.75
95,362,1006,2,4,4,2237,PAID,ARS,74700.0,15687.0,0.0,90387.0
96,634,247,1,,1295,1236,FULFILLED,ARS,48510.0,10187.1,1200.0,59897.1
97,509,1127,2,3,3,1319,FULFILLED,ARS,35280.0,7408.8,0.0,42688.8
98,164,757,2,2,2,2453,FULFILLED,ARS,15435.0,3241.35,0.0,18676.35
99,382,520,1,,2447,3135,FULFILLED,ARS,35910.0,7541.1,900.0,44351.1
100,58,258,1,,228,1515,FULFILLED,ARS,12000.0,2520.0,0.0,14520.0
101,212,467,1,,1889,1636,CANCELLED,ARS,23148.0,4861.08,900.0,28909.08
102,90,3,1,,223,2640,PAID,ARS,36000.0,7560.0,900.0,44460.0
103,324,334,1,,2867,2620,FULFILLED,ARS,35280.0,7408.8,1200.0,43888.8
104,85,802,2,3,3,553,CREATED,ARS,30780.0,6463.8,0.0,37243.8
105,83,999,1,,3052,255,REFUNDED,ARS,30000.0,6300.0,1200.0,37500.0
106,133,176,1,,2444,462,FULFILLED,ARS,21600.0,4536.0,1200.0,27336.0
107,405,801,1,,2960,607,FULFILLED,ARS,15000.0,3150.0,900.0,19050.0
108,143,1113,1,,1947,751,FULFILLED,ARS,34020.0,7144.2,900.0,42064.2
109,551,810,2,4,4,,FULFILLED,ARS,46305.0,9724.05,0.0,56029.05
110,113,581,2,4,4,704,FULFILLED,ARS,33000.0,6930.0,0.0,39930.0
111,521,1284,2,2,2,3026,CANCELLED,ARS,68070.0,14294.7,0.0,82364.7
112,355,1333,1,,1880,2902,FULFILLED,ARS,15435.0,3241.35,1200.0,19876.35
113,425,24,2,2,2,806,PAID,ARS,76770.0,16121.7,0.0,92891.7
114,21,1222,2,1,1,1895,CANCELLED,ARS,12936.0,2716.56,0.0,15652.56
115,261,63,2,1,1,2180,PAID,ARS,9720.0,2041.2,0.0,11761.2
116,50,1078,1,,3,2864,REFUNDED,ARS,21600.0,4536.0,1500.0,27636.0
117,183,1091,1,,2613,2787,FULFILLED,ARS,39600.0,8316.0,1200.0,49116.0
118,385,524,1,,1258,3173,FULFILLED,ARS,24000.0,5040.0,1200.0,30240.0
119,594,1229,1,,2394,1458,FULFILLED,ARS,38808.0,8149.68,900.0,47857.68
120,563,458,2,4,4,2845,FULFILLED,ARS,14700.0,3087.0,0.0,17787.0
121,109,68,1,,1657,1466,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
122,355,959,2,4,4,2706,FULFILLED,ARS,37620.0,7900.2,0.0,45520.2
123,608,356,2,1,1,3167,FULFILLED,ARS,36000.0,7560.0,0.0,43560.0
124,541,530,1,,5,1284,CANCELLED,ARS,14700.0,3087.0,1200.0,18987.0
125,37,1420,1,,3008,1268,FULFILLED,ARS,54684.0,11483.64,1200.0,67367.64
126,191,279,2,3,3,954,FULFILLED,ARS,51300.0,10773.0,0.0,62073.0
127,164,779,2,3,3,206,FULFILLED,ARS,15000.0,3150.0,0.0,18150.0
128,59,1383,1,,2117,3141,FULFILLED,ARS,56850.0,11938.5,1200.0,69988.5
129,476,1189,1,,1356,885,CANCELLED,ARS,82620.0,17350.2,1500.0,101470.2
130,626,1016,1,,3040,1995,FULFILLED,ARS,62280.0,13078.8,1500.0,76858.8
131,507,595,2,3,3,164,PAID,ARS,12150.0,2551.5,0.0,14701.5
132,25,902,2,4,4,2020,FULFILLED,ARS,39600.0,8316.0,0.0,47916.0
133,208,317,1,,2546,2601,FULFILLED,ARS,26460.0,5556.6,1200.0,33216.6
134,166,1229,2,2,2,,FULFILLED,ARS,15000.0,3150.0,0.0,18150.0
135,6,279,2,3,3,63,FULFILLED,ARS,62280.0,13078.8,0.0,75358.8
136,151,1498,2,4,4,2609,PAID,ARS,33000.0,6930.0,0.0,39930.0
137,386,140,1,,1773,2026,FULFILLED,ARS,28500.0,5985.0,0.0,34485.0
138,320,1115,1,,2545,462,PAID,ARS,11760.0,2469.6,0.0,14229.6
139,3,1240,1,,1704,1477,PAID,ARS,34200.0,7182.0,1500.0,42882.0
140,97,590,1,,1036,1328,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0
141,414,645,2,3,3,1878,FULFILLED,ARS,13230.0,2778.3,0.0,16008.3
142,335,545,2,1,1,2477,REFUNDED,ARS,11880.0,2494.8,0.0,14374.8
143,542,1208,1,,1955,3064,REFUNDED,ARS,50706.0,10648.26,1500.0,62854.26
144,158,551,2,1,1,1113,FULFILLED,ARS,66600.0,13986.0,0.0,80586.0
145,40,569,2,1,1,214,CANCELLED,ARS,29700.0,6237.0,0.0,35937.0
146,566,1305,1,,3178,,FULFILLED,ARS,30000.0,6300.0,1500.0,37800.0
147,126,280,1,,2731,194,FULFILLED,ARS,82687.5,17364.38,900.0,100951.88
148,342,1338,1,,1472,,FULFILLED,ARS,59340.0,12461.4,900.0,72701.4
149,538,84,1,,2447,592,FULFILLED,ARS,35280.0,7408.8,1200.0,43888.8
150,387,655,1,,1117,81,FULFILLED,ARS,13500.0,2835.0,900.0,17235.0
151,516,513,2,4,4,3049,FULFILLED,ARS,32340.0,6791.4,0.0,39131.4
152,107,884,2,3,3,849,FULFILLED,ARS,35280.0,7408.8,0.0,42688.8
153,8,385,2,2,2,1553,FULFILLED,ARS,9720.0,2041.2,0.0,11761.2
154,527,723,2,2,2,752,CANCELLED,ARS,10800.0,2268.0,0.0,13068.0
155,183,110,2,1,1,2113,PAID,ARS,42525.0,8930.25,0.0,51455.25
156,43,1197,1,,3125,2708,FULFILLED,ARS,12000.0,2520.0,900.0,15420.0
157,303,833,2,2,2,1194,FULFILLED,ARS,42750.0,8977.5,0.0,51727.5
158,392,371,2,3,3,1185,CANCELLED,ARS,59250.0,12442.5,0.0,71692.5
159,115,905,2,1,1,1807,FULFILLED,ARS,30000.0,6300.0,0.0,36300.0
160,196,389,1,,307,3180,FULFILLED,ARS,12348.0,2593.08,1200.0,16141.08
161,165,1299,2,4,4,,FULFILLED,ARS,29400.0,6174.0,0.0,35574.0
162,295,725,1,,2912,,FULFILLED,ARS,45000.0,9450.0,900.0,55350.0
163,578,645,2,4,4,161,PAID,ARS,22800.0,4788.0,0.0,27588.0
164,55,584,1,,136,984,FULFILLED,ARS,21600.0,4536.0,900.0,27036.0
165,419,436,1,,2762,3083,FULFILLED,ARS,63000.0,13230.0,900.0,77130.0
166,605,293,1,,2361,2895,FULFILLED,ARS,23520.0,4939.2,1500.0,29959.2
167,574,1065,1,,2496,,FULFILLED,ARS,43425.0,9119.25,1200.0,53744.25
168,384,1234,1,,2706,1645,CANCELLED,ARS,47085.0,9887.85,1200.0,58172.85
169,57,400,1,,2527,2133,CANCELLED,ARS,40500.0,8505.0,1200.0,50205.0
170,190,251,1,,1329,,FULFILLED,ARS,10800.0,2268.0,1200.0,14268.0
171,89,764,2,4,4,,PAID,ARS,30000.0,6300.0,0.0,36300.0
172,424,1490,1,,2557,2733,CREATED,ARS,11760.0,2469.6,1200.0,15429.6
173,128,181,1,,1805,607,FULFILLED,ARS,22800.0,4788.0,900.0,28488.0
174,533,693,1,,1635,1849,FULFILLED,ARS,31500.0,6615.0,1200.0,39315.0
175,251,672,2,2,2,2475,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
176,152,786,1,,2161,1699,PAID,ARS,12000.0,2520.0,900.0,15420.0
177,422,1347,2,2,2,1260,FULFILLED,ARS,14850.0,3118.5,0.0,17968.5
178,328,628,1,,868,,FULFILLED,ARS,12825.0,2693.25,1200.0,16718.25
179,489,1485,2,2,2,3036,PAID,ARS,13500.0,2835.0,0.0,16335.0
180,590,805,1,,2735,1866,FULFILLED,ARS,72600.0,15246.0,900.0,88746.0
181,142,445,1,,753,2685,FULFILLED,ARS,25200.0,5292.0,1200.0,31692.0
182,317,560,1,,83,2249,FULFILLED,ARS,23520.0,4939.2,900.0,29359.2
183,252,403,1,,2607,1525,FULFILLED,ARS,25080.0,5266.8,1200.0,31546.8
184,300,693,2,1,1,1838,PAID,ARS,27000.0,5670.0,0.0,32670.0
185,497,274,2,2,2,2613,PAID,ARS,13500.0,2835.0,0.0,16335.0
186,200,804,1,,944,600,FULFILLED,ARS,59844.0,12567.24,1200.0,73611.24
187,212,1495,1,,1364,2585,FULFILLED,ARS,11400.0,2394.0,900.0,14694.0
188,409,48,2,1,1,2002,REFUNDED,ARS,32400.0,6804.0,0.0,39204.0
189,601,661,2,3,3,2869,FULFILLED,ARS,27000.0,5670.0,0.0,32670.0
190,123,984,1,,1812,3020,PAID,ARS,37044.0,7779.24,900.0,45723.24
191,157,1384,1,,1972,1811,PAID,ARS,11760.0,2469.6,0.0,14229.6
192,625,788,1,,206,1179,CANCELLED,ARS,88344.0,18552.24,0.0,106896.24
193,68,456,2,2,2,1133,PAID,ARS,12000.0,2520.0,0.0,14520.0
194,46,427,1,,695,,FULFILLED,ARS,32400.0,6804.0,1200.0,40404.0
195,622,866,1,,2574,913,FULFILLED,ARS,45000.0,9450.0,0.0,54450.0
196,425,371,1,,600,352,FULFILLED,ARS,45840.0,9626.4,1200.0,56666.4
197,592,1000,1,,1384,1481,FULFILLED,ARS,30000.0,6300.0,1200.0,37500.0
198,100,1404,1,,795,2536,FULFILLED,ARS,10800.0,2268.0,1200.0,14268.0
199,34,1159,1,,788,,FULFILLED,ARS,29160.0,6123.6,900.0,36183.6
200,444,1040,1,,2797,,FULFILLED,ARS,48000.0,10080.0,1200.0,59280.0
201,269,464,1,,2537,2887,FULFILLED,ARS,21600.0,4536.0,900.0,27036.0
202,321,166,1,,2941,1631,REFUNDED,ARS,40950.0,8599.5,1200.0,50749.5
203,452,1056,2,3,3,1262,FULFILLED,ARS,36000.0,7560.0,0.0,43560.0
204,322,925,2,3,3,2299,FULFILLED,ARS,32400.0,6804.0,0.0,39204.0
205,393,488,1,,257,678,CANCELLED,ARS,40500.0,8505.0,1200.0,50205.0
206,274,903,1,,898,459,FULFILLED,ARS,14700.0,3087.0,0.0,17787.0
207,573,70,1,,1092,1448,PAID,ARS,23520.0,4939.2,1200.0,29659.2
208,493,1459,1,,1330,,FULFILLED,ARS,12348.0,2593.08,900.0,15841.08
209,467,500,2,2,2,1838,FULFILLED,ARS,44550.0,9355.5,0.0,53905.5
210,459,361,1,,1297,370,FULFILLED,ARS,25200.0,5292.0,1200.0,31692.0
211,445,476,1,,2590,683,FULFILLED,ARS,13500.0,2835.0,1500.0,17835.0
212,566,1400,2,1,1,1780,REFUNDED,ARS,66780.0,14023.8,0.0,80803.8
213,415,945,1,,886,106,FULFILLED,ARS,11760.0,2469.6,900.0,15129.6
214,107,1443,1,,900,1390,FULFILLED,ARS,15750.0,3307.5,1500.0,20557.5
215,201,1430,1,,2687,2114,FULFILLED,ARS,22680.0,4762.8,900.0,28342.8
216,29,1330,1,,1579,613,FULFILLED,ARS,51015.0,10713.15,900.0,62628.15
217,496,274,1,,506,3105,FULFILLED,ARS,15675.0,3291.75,900.0,19866.75
218,96,1251,2,2,2,455,FULFILLED,ARS,59962.5,12592.12,0.0,72554.62
219,186,176,1,,550,299,FULFILLED,ARS,31860.0,6690.6,1200.0,39750.6
220,164,42,2,2,2,1205,PAID,ARS,45000.0,9450.0,0.0,54450.0
221,630,582,1,,1933,1139,FULFILLED,ARS,11400.0,2394.0,900.0,14694.0
222,493,4,2,1,1,73,FULFILLED,ARS,23520.0,4939.2,0.0,28459.2
223,243,569,2,2,2,2286,FULFILLED,ARS,21600.0,4536.0,0.0,26136.0
224,359,157,2,1,1,708,PAID,ARS,22680.0,4762.8,0.0,27442.8
225,447,649,1,,311,230,FULFILLED,ARS,40500.0,8505.0,1200.0,50205.0
226,583,1230,1,,1403,55,FULFILLED,ARS,34020.0,7144.2,0.0,41164.2
227,198,197,1,,2867,3115,FULFILLED,ARS,29160.0,6123.6,1200.0,36483.6
228,199,731,1,,2594,1940,FULFILLED,ARS,35280.0,7408.8,1200.0,43888.8
229,452,506,1,,2647,2901,FULFILLED,ARS,35280.0,7408.8,900.0,43588.8
230,466,751,2,2,2,3016,CANCELLED,ARS,13500.0,2835.0,0.0,16335.0
231,364,485,1,,1341,201,FULFILLED,ARS,32400.0,6804.0,900.0,40104.0
232,160,823,1,,57,2287,PAID,ARS,47250.0,9922.5,900.0,58072.5
233,418,680,1,,1497,2906,PAID,ARS,36936.0,7756.56,1200.0,45892.56
234,324,417,1,,2093,531,FULFILLED,ARS,15000.0,3150.0,900.0,19050.0
235,514,677,1,,2205,1685,FULFILLED,ARS,23520.0,4939.2,1200.0,29659.2
236,276,1327,2,2,2,2411,CANCELLED,ARS,21600.0,4536.0,0.0,26136.0
237,370,593,2,1,1,,FULFILLED,ARS,24000.0,5040.0,0.0,29040.0
238,319,606,2,1,1,1048,FULFILLED,ARS,36000.0,7560.0,0.0,43560.0
239,447,137,2,2,2,2139,PAID,ARS,21168.0,4445.28,0.0,25613.28
240,51,487,1,,1637,1298,FULFILLED,ARS,51660.0,10848.6,900.0,63408.6
241,294,909,1,,2066,179,REFUNDED,ARS,39000.0,8190.0,900.0,48090.0
242,285,179,2,1,1,2962,FULFILLED,ARS,59400.0,12474.0,0.0,71874.0
243,593,183,1,,2017,1611,CANCELLED,ARS,37044.0,7779.24,1200.0,46023.24
244,525,536,1,,827,2922,FULFILLED,ARS,16500.0,3465.0,0.0,19965.0
245,257,1341,2,1,1,,FULFILLED,ARS,20520.0,4309.2,0.0,24829.2
246,494,378,2,1,1,,REFUNDED,ARS,40350.0,8473.5,0.0,48823.5
247,636,548,1,,537,476,CANCELLED,ARS,61650.0,12946.5,0.0,74596.5
248,337,757,1,,3131,116,FULFILLED,ARS,15435.0,3241.35,900.0,19576.35
249,300,522,2,4,4,2139,FULFILLED,ARS,10800.0,2268.0,0.0,13068.0
250,110,1384,2,3,3,290,FULFILLED,ARS,39600.0,8316.0,0.0,47916.0
251,265,473,1,,843,1994,FULFILLED,ARS,42525.0,8930.25,1500.0,52955.25
252,75,1316,2,3,3,1075,FULFILLED,ARS,34200.0,7182.0,0.0,41382.0
253,62,1356,2,1,1,1674,FULFILLED,ARS,44100.0,9261.0,0.0,53361.0
254,479,266,1,,1464,597,REFUNDED,ARS,46296.0,9722.16,0.0,56018.16
255,287,1359,2,2,2,1810,FULFILLED,ARS,21168.0,4445.28,0.0,25613.28
256,226,843,1,,2933,1968,FULFILLED,ARS,14700.0,3087.0,900.0,18687.0
257,275,599,1,,105,83,FULFILLED,ARS,23520.0,4939.2,1200.0,29659.2
258,516,1048,2,1,1,723,FULFILLED,ARS,57900.0,12159.0,0.0,70059.0
259,361,319,1,,3048,1480,FULFILLED,ARS,28500.0,5985.0,900.0,35385.0
260,613,846,1,,975,661,REFUNDED,ARS,25872.0,5433.12,1500.0,32805.12
261,347,1491,1,,2539,3128,FULFILLED,ARS,33000.0,6930.0,1200.0,41130.0
262,592,79,1,,1366,1306,FULFILLED,ARS,24000.0,5040.0,0.0,29040.0
263,323,748,1,,3055,862,FULFILLED,ARS,35280.0,7408.8,900.0,43588.8
264,366,537,1,,3146,987,PAID,ARS,40500.0,8505.0,900.0,49905.0
265,597,303,2,2,2,2401,PAID,ARS,57645.0,12105.45,0.0,69750.45
266,118,1065,1,,1757,1988,FULFILLED,ARS,52536.0,11032.56,900.0,64468.56
267,493,606,1,,1858,2324,FULFILLED,ARS,39195.0,8230.95,900.0,48325.95
268,60,553,1,,1632,1948,FULFILLED,ARS,27000.0,5670.0,1200.0,33870.0
269,439,656,1,,361,1668,CANCELLED,ARS,11400.0,2394.0,0.0,13794.0
270,287,786,1,,1402,54,CANCELLED,ARS,69105.0,14512.05,0.0,83617.05
271,47,663,2,1,1,1839,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
272,43,833,1,,1297,1046,REFUNDED,ARS,71280.0,14968.8,1200.0,87448.8
273,299,844,1,,1061,2889,FULFILLED,ARS,26400.0,5544.0,1200.0,33144.0
274,61,720,1,,353,1437,FULFILLED,ARS,35280.0,7408.8,900.0,43588.8
275,272,169,2,1,1,2353,FULFILLED,ARS,63690.0,13374.9,0.0,77064.9
276,173,969,1,,1858,95,FULFILLED,ARS,21600.0,4536.0,1200.0,27336.0
277,512,268,2,4,4,2908,PAID,ARS,24000.0,5040.0,0.0,29040.0
278,288,122,2,1,1,3023,FULFILLED,ARS,42000.0,8820.0,0.0,50820.0
279,429,617,1,,2841,164,FULFILLED,ARS,21600.0,4536.0,1500.0,27636.0
280,593,608,1,,2268,1523,CANCELLED,ARS,44100.0,9261.0,900.0,54261.0
281,202,732,2,1,1,1458,FULFILLED,ARS,27300.0,5733.0,0.0,33033.0
282,436,211,1,,2122,600,FULFILLED,ARS,43968.0,9233.28,900.0,54101.28
283,363,475,1,,1567,432,FULFILLED,ARS,19440.0,4082.4,900.0,24422.4
284,568,949,1,,2712,1549,FULFILLED,ARS,12825.0,2693.25,1200.0,16718.25
285,69,426,2,2,2,2971,FULFILLED,ARS,58500.0,12285.0,0.0,70785.0
286,304,386,1,,1443,1037,CANCELLED,ARS,15000.0,3150.0,1200.0,19350.0
287,193,500,1,,2067,1798,FULFILLED,ARS,29400.0,6174.0,1500.0,37074.0
288,534,677,2,1,1,1764,PAID,ARS,42750.0,8977.5,0.0,51727.5
289,398,33,2,1,1,2085,PAID,ARS,11760.0,2469.6,0.0,14229.6
290,423,194,1,,3137,1296,CANCELLED,ARS,73710.0,15479.1,1200.0,90389.1
291,309,78,1,,2789,3031,FULFILLED,ARS,85830.0,18024.3,1500.0,105354.3
292,291,102,1,,1996,825,PAID,ARS,47025.0,9875.25,0.0,56900.25
293,485,1072,2,4,4,2657,PAID,ARS,26670.0,5600.7,0.0,32270.7
294,599,754,1,,1359,3164,PAID,ARS,21600.0,4536.0,900.0,27036.0
295,113,195,1,,1152,46,CANCELLED,ARS,36000.0,7560.0,900.0,44460.0
296,452,862,2,4,4,433,REFUNDED,ARS,20520.0,4309.2,0.0,24829.2
297,180,240,2,2,2,491,PAID,ARS,15000.0,3150.0,0.0,18150.0
298,589,682,2,1,1,761,REFUNDED,ARS,44100.0,9261.0,0.0,53361.0
299,309,849,2,1,1,536,FULFILLED,ARS,34200.0,7182.0,0.0,41382.0
300,127,807,2,3,3,,FULFILLED,ARS,36000.0,7560.0,0.0,43560.0
301,324,901,1,,1279,,FULFILLED,ARS,44160.0,9273.6,1200.0,54633.6
302,127,61,1,,371,,PAID,ARS,24000.0,5040.0,0.0,29040.0
303,585,1082,1,,1272,1246,CANCELLED,ARS,56700.0,11907.0,900.0,69507.0
304,76,1286,2,3,3,3149,PAID,ARS,32400.0,6804.0,0.0,39204.0
305,75,1416,1,,1942,1586,FULFILLED,ARS,98077.5,20596.27,1200.0,119873.77
306,469,979,1,,2689,2941,FULFILLED,ARS,25200.0,5292.0,1200.0,31692.0
307,120,800,1,,969,959,FULFILLED,ARS,69150.0,14521.5,0.0,83671.5
308,256,800,1,,3193,920,FULFILLED,ARS,13500.0,2835.0,1500.0,17835.0
309,87,757,1,,1366,802,PAID,ARS,13500.0,2835.0,1500.0,17835.0
310,100,1194,2,1,1,2964,CANCELLED,ARS,37800.0,7938.0,0.0,45738.0
311,370,673,1,,1712,,FULFILLED,ARS,21600.0,4536.0,1500.0,27636.0
