session_id,date_sk,customer_sk,channel_sk,started_at,ended_at,source,device
11000000047,416,250.0,,2025-02-19 06:49:28,2025-02-19 06:53:28,direct,mobile
11000000048,585,135.0,,2025-08-07 22:22:56,2025-08-07 23:08:56,direct,desktop
11000000049,329,334.0,,2024-11-24 06:53:59,2024-11-24 07:20:59,direct,mobile
11000000050,585,779.0,,2025-08-07 22:28:13,2025-08-07 23:16:13,direct,mobile
11000000051,24,1396.0,,2024-01-24 05:41:45,2024-01-24 05:59:45,email,desktop
11000000052,75,,,2024-03-15 23:04:12,2024-03-15 23:54:12,ads,mobile
11000000053,541,,,2025-06-24 10:17:32,2025-06-24 10:19:32,direct,mobile
11000000054,454,732.0,,2025-03-29 14:11:54,2025-03-29 15:01:54,direct,mobile
11000000055,528,1267.0,,2025-06-11 01:42:20,2025-06-11 01:56:20,ads,desktop
11000000056,334,298.0,,2024-11-29 14:45:02,2024-11-29 15:09:02,direct,mobile
11000000057,293,933.0,,2024-10-19 11:24:54,2024-10-19 12:07:54,ads,mobile
11000000058,56,550.0,,2024-02-25 07:55:41,2024-02-25 08:26:41,email,desktop
11000000059,122,,,2024-05-01 12:10:47,2024-05-01 12:34:47,direct,mobile
11000000060,534,342.0,,2025-06-17 04:59:23,2025-06-17 05:33:23,social,mobile
11000000061,9,568.0,,2024-01-09 13:56:30,,referral,mobile
11000000062,236,498.0,,2024-08-23 03:42:36,2024-08-23 04:10:36,email,tablet
11000000063,410,,,2025-02-13 07:09:24,2025-02-13 07:36:24,ads,mobile
11000000064,583,1109.0,,2025-08-05 00:12:45,2025-08-05 00:25:45,direct,desktop
11000000065,200,1211.0,,2024-07-18 13:12:09,2024-07-18 13:32:09,ads,mobile
11000000066,362,1443.0,,2024-12-27 19:22:00,2024-12-27 20:11:00,direct,mobile
11000000067,275,811.0,,2024-10-01 02:46:17,2024-10-01 02:58:17,email,desktop
11000000068,589,1160.0,,2025-08-11 09:47:57,,direct,desktop
11000000069,90,455.0,,2024-03-30 22:28:01,2024-03-30 23:16:01,direct,mobile
11000000070,160,601.0,,2024-06-08 21:07:39,2024-06-08 22:03:39,direct,mobile
11000000071,244,431.0,,2024-08-31 12:28:50,2024-08-31 12:40:50,ads,mobile
11000000072,103,,,2024-04-12 19:00:14,2024-04-12 19:01:14,ads,desktop
11000000073,618,80.0,,2025-09-09 08:56:19,2025-09-09 09:44:19,ads,mobile
11000000074,75,,,2024-03-15 23:06:01,,referral,mobile
11000000075,342,859.0,,2024-12-07 09:37:39,2024-12-07 10:06:39,direct,mobile
11000000076,444,,,2025-03-19 03:04:17,2025-03-19 03:32:17,social,mobile
11000000077,247,,,2024-09-03 17:09:22,,referral,desktop
11000000078,51,233.0,,2024-02-20 23:09:17,2024-02-20 23:41:17,ads,mobile
11000000079,50,1176.0,,2024-02-19 23:17:38,2024-02-20 00:10:38,direct,desktop
11000000080,570,,,2025-07-23 07:56:30,2025-07-23 08:31:30,direct,mobile
11000000081,554,,,2025-07-07 05:21:58,2025-07-07 05:44:58,social,desktop
11000000082,268,181.0,,2024-09-24 21:56:18,2024-09-24 21:57:18,direct,mobile
11000000083,97,1064.0,,2024-04-06 13:32:17,2024-04-06 14:19:17,ads,mobile
11000000084,525,166.0,,2025-06-08 00:02:44,2025-06-08 00:30:44,direct,mobile
11000000085,152,1230.0,,2024-05-31 14:24:31,2024-05-31 14:26:31,referral,mobile
11000000086,113,,,2024-04-22 05:28:39,2024-04-22 05:34:39,referral,tablet
11000000087,20,747.0,,2024-01-20 16:57:26,2024-01-20 17:23:26,direct,mobile
11000000088,1,927.0,,2024-01-01 00:43:15,2024-01-01 01:16:15,ads,tablet
11000000089,395,1009.0,,2025-01-29 11:12:48,2025-01-29 12:12:48,direct,mobile
11000000090,514,1334.0,,2025-05-28 15:56:02,,social,mobile
11000000091,273,51.0,,2024-09-29 17:08:35,2024-09-29 17:31:35,email,desktop
11000000092,295,1436.0,,2024-10-21 04:15:27,2024-10-21 04:40:27,referral,mobile
11000000093,386,859.0,,2025-01-20 00:06:36,2025-01-20 00:45:36,direct,desktop
11000000094,266,1298.0,,2024-09-22 13:47:51,2024-09-22 14:10:51,referral,mobile
11000000095,336,51.0,,2024-12-01 14:00:38,2024-12-01 14:09:38,direct,mobile
11000000096,276,885.0,,2024-10-02 21:22:16,2024-10-02 21:24:16,ads,mobile
11000000097,169,505.0,,2024-06-17 06:12:02,2024-06-17 06:53:02,direct,mobile
11000000098,34,,,2024-02-03 21:20:53,2024-02-03 21:46:53,ads,mobile
11000000099,42,1.0,,2024-02-11 22:10:36,2024-02-11 22:40:36,direct,mobile
11000000100,364,781.0,,2024-12-29 19:56:25,2024-12-29 20:42:25,direct,desktop
11000000101,88,540.0,,2024-03-28 09:44:11,2024-03-28 09:55:11,ads,mobile
11000000102,442,,,2025-03-17 16:33:52,2025-03-17 17:10:52,ads,mobile
11000000103,554,,,2025-07-07 18:41:57,2025-07-07 19:29:57,direct,mobile
11000000104,587,,,2025-08-09 05:56:28,,ads,desktop
11000000105,451,,,2025-03-26 17:20:56,2025-03-26 18:03:56,referral,mobile
11000000106,82,718.0,,2024-03-22 06:50:17,2024-03-22 07:19:17,direct,mobile
11000000107,522,,,2025-06-05 08:57:38,2025-06-05 08:59:38,ads,mobile
11000000108,419,937.0,,2025-02-22 14:57:02,2025-02-22 15:26:02,social,mobile
11000000109,352,855.0,,2024-12-17 05:51:47,2024-12-17 05:58:47,ads,mobile
11000000110,409,1396.0,,2025-02-12 08:47:46,2025-02-12 08:58:46,direct,mobile
11000000111,598,465.0,,2025-08-20 03:57:23,2025-08-20 04:49:23,email,mobile
11000000112,465,,,2025-04-09 16:12:11,2025-04-09 16:49:11,social,mobile
11000000113,449,,,2025-03-24 13:10:09,2025-03-24 13:41:09,direct,mobile
11000000114,100,,,2024-04-09 01:17:47,2024-04-09 01:59:47,ads,tablet
11000000115,189,785.0,,2024-07-07 12:08:03,2024-07-07 12:56:03,ads,desktop
11000000116,450,49.0,,2025-03-25 02:58:58,2025-03-25 03:05:58,ads,desktop
11000000117,63,725.0,,2024-03-03 22:26:33,2024-03-03 22:46:33,email,desktop
11000000118,280,647.0,,2024-10-06 10:42:56,2024-10-06 11:42:56,ads,mobile
11000000119,548,1014.0,,2025-07-01 14:44:37,2025-07-01 14:52:37,direct,mobile
11000000120,480,892.0,,2025-04-24 04:47:44,2025-04-24 05:33:44,direct,mobile
11000000121,399,130.0,,2025-02-02 15:26:51,2025-02-02 15:44:51,referral,mobile
11000000122,146,633.0,,2024-05-25 14:29:49,2024-05-25 15:17:49,referral,desktop
11000000123,8,,,2024-01-08 01:28:53,2024-01-08 02:14:53,direct,desktop
11000000124,363,532.0,,2024-12-28 01:24:10,,direct,mobile
11000000125,335,997.0,,2024-11-30 14:56:28,2024-11-30 15:25:28,email,desktop
11000000126,592,11.0,,2025-08-14 16:23:44,2025-08-14 17:23:44,direct,mobile
11000000127,181,,,2024-06-29 13:52:29,2024-06-29 14:24:29,referral,mobile
11000000128,32,1331.0,,2024-02-01 14:45:20,2024-02-01 15:00:20,referral,mobile
11000000129,229,,,2024-08-16 09:41:48,2024-08-16 10:39:48,referral,mobile
11000000130,59,1084.0,,2024-02-28 09:37:41,2024-02-28 10:22:41,ads,mobile
11000000131,638,1201.0,,2025-09-29 07:22:23,2025-09-29 07:38:23,email,mobile
11000000132,490,,,2025-05-04 20:12:48,,direct,desktop
11000000133,599,367.0,,2025-08-21 09:50:23,2025-08-21 10:10:23,email,mobile
11000000134,64,710.0,,2024-03-04 04:31:39,2024-03-04 05:06:39,direct,mobile
11000000135,368,,,2025-01-02 08:45:30,2025-01-02 09:11:30,ads,mobile
11000000136,25,1389.0,,2024-01-25 20:51:57,2024-01-25 21:35:57,email,desktop
11000000137,630,,,2025-09-21 05:41:55,2025-09-21 06:02:55,social,mobile
11000000138,161,1160.0,,2024-06-09 09:02:58,2024-06-09 09:04:58,email,desktop
11000000139,547,1252.0,,2025-06-30 15:15:28,2025-06-30 15:21:28,ads,tablet
11000000140,51,,,2024-02-20 18:16:32,2024-02-20 18:19:32,direct,desktop
11000000141,352,1438.0,,2024-12-17 16:16:50,2024-12-17 16:57:50,ads,mobile
11000000142,208,670.0,,2024-07-26 20:57:06,2024-07-26 21:49:06,social,mobile
11000000143,102,,,2024-04-11 01:07:38,2024-04-11 01:18:38,ads,desktop
11000000144,227,1207.0,,2024-08-14 06:56:48,2024-08-14 07:14:48,ads,tablet
11000000145,323,1110.0,,2024-11-18 04:51:12,2024-11-18 05:51:12,ads,tablet
11000000146,150,94.0,,2024-05-29 04:51:48,2024-05-29 05:36:48,ads,desktop
11000000147,112,1158.0,,2024-04-21 19:33:05,2024-04-21 20:30:05,direct,mobile
11000000148,436,,,2025-03-11 22:45:01,2025-03-11 23:07:01,email,mobile
11000000149,416,252.0,,2025-02-19 22:11:56,2025-02-19 22:34:56,direct,mobile
11000000150,79,625.0,,2024-03-19 21:34:21,2024-03-19 21:48:21,ads,desktop
11000000151,134,919.0,,2024-05-13 20:21:14,2024-05-13 20:51:14,email,desktop
11000000152,220,1053.0,,2024-08-07 14:40:24,2024-08-07 15:28:24,ads,mobile
11000000153,300,1381.0,,2024-10-26 09:23:02,2024-10-26 09:56:02,direct,desktop
11000000154,510,591.0,,2025-05-24 00:25:34,2025-05-24 00:48:34,social,mobile
11000000155,254,1452.0,,2024-09-10 19:38:19,2024-09-10 20:26:19,direct,mobile
11000000156,222,864.0,,2024-08-09 19:29:41,2024-08-09 19:53:41,direct,desktop
11000000157,10,744.0,,2024-01-10 20:29:38,2024-01-10 20:44:38,ads,mobile
11000000158,262,653.0,,2024-09-18 23:27:31,2024-09-19 00:09:31,ads,mobile
11000000159,501,974.0,,2025-05-15 20:29:52,2025-05-15 21:09:52,direct,mobile
11000000160,315,,,2024-11-10 08:25:15,2024-11-10 09:24:15,direct,mobile
11000000161,520,,,2025-06-03 11:42:10,2025-06-03 11:44:10,ads,mobile
11000000162,109,,,2024-04-18 00:26:10,2024-04-18 00:35:10,direct,mobile
11000000163,199,1105.0,,2024-07-17 03:08:53,2024-07-17 03:12:53,ads,tablet
11000000164,616,1211.0,,2025-09-07 15:37:31,2025-09-07 16:07:31,ads,desktop
11000000165,303,,,2024-10-29 23:54:18,2024-10-30 00:06:18,social,mobile
11000000166,403,,,2025-02-06 09:45:48,2025-02-06 10:20:48,ads,desktop
11000000167,478,1017.0,,2025-04-22 22:52:13,2025-04-22 23:14:13,ads,desktop
11000000168,70,267.0,,2024-03-10 01:21:23,2024-03-10 02:00:23,direct,mobile
11000000169,416,1228.0,,2025-02-19 02:31:34,2025-02-19 03:07:34,direct,desktop
11000000170,607,1121.0,,2025-08-29 02:50:10,2025-08-29 03:49:10,direct,mobile
11000000171,613,,,2025-09-04 18:48:14,2025-09-04 19:32:14,direct,desktop
11000000172,296,1380.0,,2024-10-22 18:32:10,2024-10-22 18:34:10,email,mobile
11000000173,71,,,2024-03-11 04:41:52,2024-03-11 05:14:52,direct,mobile
11000000174,211,605.0,,2024-07-29 08:12:41,2024-07-29 08:42:41,email,mobile
11000000175,29,,,2024-01-29 15:59:09,2024-01-29 16:20:09,social,mobile
11000000176,600,1309.0,,2025-08-22 13:01:31,2025-08-22 13:51:31,social,desktop
11000000177,438,1393.0,,2025-03-13 14:04:38,2025-03-13 14:57:38,direct,mobile
11000000178,228,331.0,,2024-08-15 01:50:40,2024-08-15 01:51:40,ads,mobile
11000000179,346,1288.0,,2024-12-11 20:09:16,2024-12-11 20:15:16,referral,mobile
11000000180,572,524.0,,2025-07-25 17:09:34,2025-07-25 18:04:34,ads,mobile
11000000181,468,1374.0,,2025-04-12 19:03:32,,social,mobile
11000000182,496,67.0,,2025-05-10 20:09:16,2025-05-10 20:28:16,referral,desktop
11000000183,351,,,2024-12-16 01:26:08,2024-12-16 02:11:08,ads,mobile
11000000184,620,662.0,,2025-09-11 17:40:57,2025-09-11 18:31:57,direct,mobile
11000000185,624,1332.0,,2025-09-15 05:05:59,2025-09-15 05:13:59,ads,mobile
11000000186,338,1163.0,,2024-12-03 06:15:23,2024-12-03 06:23:23,direct,mobile
11000000187,21,665.0,,2024-01-21 14:23:31,2024-01-21 14:42:31,direct,desktop
11000000188,427,1409.0,,2025-03-02 20:16:50,2025-03-02 20:27:50,direct,mobile
11000000189,524,502.0,,2025-06-07 07:40:14,2025-06-07 08:00:14,direct,mobile
11000000190,572,744.0,,2025-07-25 03:23:35,2025-07-25 03:25:35,direct,desktop
11000000191,207,686.0,,2024-07-25 08:45:03,2024-07-25 09:07:03,direct,desktop
11000000192,161,,,2024-06-09 05:22:22,,referral,mobile
11000000193,161,145.0,,2024-06-09 14:24:05,2024-06-09 15:07:05,direct,desktop
11000000194,324,,,2024-11-19 03:24:34,2024-11-19 04:24:34,direct,mobile
11000000195,41,865.0,,2024-02-10 02:26:49,2024-02-10 02:56:49,direct,mobile
11000000196,349,,,2024-12-14 12:44:17,,social,tablet
11000000197,20,1167.0,,2024-01-20 04:25:51,2024-01-20 04:44:51,referral,mobile
11000000198,301,,,2024-10-27 15:20:39,2024-10-27 15:37:39,direct,desktop
11000000199,348,,,2024-12-13 01:23:28,2024-12-13 01:58:28,ads,mobile
11000000200,497,170.0,,2025-05-11 19:23:32,2025-05-11 20:23:32,ads,desktop
11000000201,99,958.0,,2024-04-08 16:40:54,2024-04-08 17:19:54,direct,mobile
11000000202,39,,,2024-02-08 19:48:46,2024-02-08 20:02:46,email,desktop
11000000203,515,541.0,,2025-05-29 04:43:08,2025-05-29 05:36:08,email,desktop
11000000204,525,119.0,,2025-06-08 09:36:31,2025-06-08 09:41:31,ads,desktop
11000000205,41,228.0,,2024-02-10 18:31:59,2024-02-10 18:57:59,ads,mobile
11000000206,189,1315.0,,2024-07-07 19:23:11,2024-07-07 20:15:11,ads,desktop
11000000207,24,535.0,,2024-01-24 16:48:53,2024-01-24 17:45:53,ads,mobile
11000000208,580,,,2025-08-02 19:09:38,2025-08-02 19:18:38,ads,mobile
11000000209,613,601.0,,2025-09-04 23:48:05,,ads,desktop
11000000210,198,,,2024-07-16 21:04:16,2024-07-16 21:43:16,email,mobile
11000000211,517,1417.0,,2025-05-31 22:48:43,2025-05-31 23:22:43,direct,mobile
11000000212,366,,,2024-12-31 04:50:36,2024-12-31 05:02:36,direct,desktop
11000000213,319,436.0,,2024-11-14 02:56:28,2024-11-14 02:57:28,ads,desktop
11000000214,21,706.0,,2024-01-21 08:26:24,2024-01-21 09:07:24,ads,mobile
11000000215,263,951.0,,2024-09-19 20:55:19,2024-09-19 21:31:19,direct,mobile
11000000216,110,1266.0,,2024-04-19 22:45:17,2024-04-19 23:03:17,ads,mobile
11000000217,598,928.0,,2025-08-20 01:15:56,2025-08-20 01:23:56,direct,desktop
11000000218,106,,,2024-04-15 10:20:48,2024-04-15 10:24:48,direct,desktop
11000000219,251,1222.0,,2024-09-07 05:30:05,2024-09-07 05:48:05,ads,mobile
11000000220,112,529.0,,2024-04-21 03:10:33,2024-04-21 03:25:33,direct,mobile
11000000221,608,819.0,,2025-08-30 13:00:36,2025-08-30 13:12:36,referral,mobile
11000000222,453,1148.0,,2025-03-28 13:49:19,2025-03-28 14:39:19,referral,mobile
11000000223,259,,,2024-09-15 06:45:53,2024-09-15 07:04:53,direct,mobile
11000000224,108,834.0,,2024-04-17 09:37:48,2024-04-17 09:55:48,ads,mobile
11000000225,275,604.0,,2024-10-01 19:39:33,2024-10-01 20:29:33,ads,desktop
11000000226,569,,,2025-07-22 15:48:27,2025-07-22 16:07:27,ads,mobile
11000000227,585,293.0,,2025-08-07 23:55:58,2025-08-08 00:51:58,referral,mobile
11000000228,623,1335.0,,2025-09-14 10:49:47,2025-09-14 10:56:47,direct,desktop
11000000229,431,236.0,,2025-03-06 13:20:58,2025-03-06 13:35:58,ads,mobile
11000000230,235,675.0,,2024-08-22 22:13:23,2024-08-22 22:24:23,referral,desktop
11000000231,328,1493.0,,2024-11-23 10:08:35,2024-11-23 10:38:35,direct,mobile
11000000232,435,,,2025-03-10 08:53:37,2025-03-10 09:20:37,direct,mobile
11000000233,197,,,2024-07-15 17:03:39,2024-07-15 17:31:39,ads,mobile
11000000234,517,448.0,,2025-05-31 07:34:55,2025-05-31 08:15:55,ads,mobile
11000000235,173,,,2024-06-21 19:48:05,2024-06-21 20:10:05,ads,mobile
11000000236,218,1444.0,,2024-08-05 09:36:20,2024-08-05 10:05:20,direct,mobile
11000000237,218,22.0,,2024-08-05 07:44:58,2024-08-05 08:25:58,email,mobile
11000000238,405,1330.0,,2025-02-08 16:16:35,2025-02-08 17:16:35,ads,mobile
11000000239,553,199.0,,2025-07-06 12:48:59,2025-07-06 13:28:59,ads,desktop
11000000240,51,662.0,,2024-02-20 05:50:45,2024-02-20 06:45:45,ads,desktop
11000000241,461,347.0,,2025-04-05 07:39:21,2025-04-05 08:22:21,email,tablet
11000000242,415,,,2025-02-18 13:52:32,2025-02-18 14:52:32,social,mobile
11000000243,84,1449.0,,2024-03-24 01:07:44,2024-03-24 01:23:44,direct,mobile
11000000244,78,820.0,,2024-03-18 06:11:39,2024-03-18 06:29:39,direct,mobile
11000000245,584,128.0,,2025-08-06 08:02:47,2025-08-06 08:06:47,ads,mobile
11000000246,154,684.0,,2024-06-02 20:41:07,2024-06-02 21:26:07,ads,mobile
11000000247,249,,,2024-09-05 12:38:57,2024-09-05 13:31:57,email,mobile
11000000248,197,740.0,,2024-07-15 09:41:25,2024-07-15 10:05:25,direct,mobile
11000000249,392,,,2025-01-26 19:18:06,2025-01-26 19:56:06,ads,mobile
11000000250,417,,,2025-02-20 00:49:40,2025-02-20 01:30:40,ads,mobile
11000000251,279,,,2024-10-05 07:35:29,2024-10-05 08:14:29,ads,mobile
11000000252,81,1107.0,,2024-03-21 21:39:50,2024-03-21 21:49:50,ads,mobile
11000000253,439,,,2025-03-14 07:34:14,2025-03-14 08:23:14,direct,mobile
11000000254,279,,,2024-10-05 09:49:36,2024-10-05 10:34:36,ads,mobile
11000000255,28,,,2024-01-28 20:19:26,2024-01-28 20:32:26,referral,mobile
11000000256,173,1013.0,,2024-06-21 08:40:16,2024-06-21 09:17:16,ads,mobile
11000000257,456,,,2025-03-31 12:26:28,2025-03-31 12:54:28,referral,mobile
11000000258,4,902.0,,2024-01-04 01:42:22,2024-01-04 02:28:22,direct,mobile
11000000259,8,,,2024-01-08 13:58:50,2024-01-08 14:08:50,social,desktop
11000000260,464,745.0,,2025-04-08 06:51:45,2025-04-08 07:28:45,direct,desktop
11000000261,86,1292.0,,2024-03-26 03:57:39,2024-03-26 04:57:39,direct,desktop
11000000262,199,476.0,,2024-07-17 06:33:29,2024-07-17 07:28:29,email,tablet
11000000263,509,502.0,,2025-05-23 12:22:35,2025-05-23 13:13:35,direct,mobile
11000000264,247,679.0,,2024-09-03 01:59:49,,ads,desktop
11000000265,512,,,2025-05-26 11:46:47,,ads,mobile
11000000266,39,,,2024-02-08 21:32:38,2024-02-08 21:37:38,direct,desktop
11000000267,326,,,2024-11-21 18:10:58,2024-11-21 18:23:58,direct,mobile
11000000268,168,1027.0,,2024-06-16 16:33:30,2024-06-16 16:43:30,ads,mobile
11000000269,600,365.0,,2025-08-22 00:30:30,2025-08-22 01:00:30,referral,mobile
11000000270,380,128.0,,2025-01-14 01:13:14,2025-01-14 01:47:14,direct,mobile
11000000271,410,855.0,,2025-02-13 14:34:31,2025-02-13 15:07:31,direct,mobile
11000000272,255,,,2024-09-11 09:13:02,2024-09-11 09:17:02,direct,mobile
11000000273,247,112.0,,2024-09-03 11:26:53,2024-09-03 12:02:53,ads,mobile
11000000274,506,57.0,,2025-05-20 22:21:39,2025-05-20 22:23:39,ads,desktop
11000000275,598,1231.0,,2025-08-20 18:24:15,2025-08-20 18:34:15,ads,mobile
11000000276,520,221.0,,2025-06-03 11:51:11,2025-06-03 12:30:11,ads,mobile
11000000277,163,835.0,,2024-06-11 23:47:25,2024-06-11 23:54:25,email,mobile
11000000278,605,,,2025-08-27 21:28:43,2025-08-27 21:52:43,social,mobile
11000000279,13,990.0,,2024-01-13 17:56:06,2024-01-13 18:53:06,ads,desktop
11000000280,25,1177.0,,2024-01-25 02:18:27,2024-01-25 02:57:27,direct,desktop
11000000281,439,514.0,,2025-03-14 23:20:52,2025-03-14 23:38:52,direct,mobile
11000000282,370,182.0,,2025-01-04 08:13:52,2025-01-04 08:14:52,ads,mobile
11000000283,69,1023.0,,2024-03-09 05:57:10,2024-03-09 06:16:10,referral,desktop
11000000284,369,358.0,,2025-01-03 00:21:33,2025-01-03 00:26:33,ads,desktop
11000000285,228,1317.0,,2024-08-15 05:48:08,2024-08-15 06:47:08,social,tablet
11000000286,128,,,2024-05-07 05:06:28,2024-05-07 05:11:28,direct,tablet
11000000287,574,,,2025-07-27 03:40:07,2025-07-27 04:33:07,direct,mobile
11000000288,196,,,2024-07-14 22:52:00,2024-07-14 23:47:00,referral,mobile
11000000289,170,,,2024-06-18 14:19:37,2024-06-18 14:36:37,direct,mobile
11000000290,420,540.0,,2025-02-23 06:26:01,2025-02-23 06:40:01,ads,mobile
11000000291,514,,,2025-05-28 06:04:42,2025-05-28 06:46:42,email,mobile
11000000292,368,,,2025-01-02 12:23:14,2025-01-02 13:22:14,referral,mobile
11000000293,28,,,2024-01-28 23:04:22,2024-01-28 23:43:22,email,desktop
11000000294,332,235.0,,2024-11-27 15:24:30,2024-11-27 15:57:30,ads,mobile
11000000295,188,,,2024-07-06 03:33:16,,email,mobile
11000000296,77,1467.0,,2024-03-17 19:02:04,2024-03-17 19:50:04,ads,mobile
11000000297,460,1370.0,,2025-04-04 22:46:29,2025-04-04 23:10:29,referral,mobile
11000000298,286,1319.0,,2024-10-12 16:48:01,2024-10-12 17:03:01,direct,mobile
11000000299,44,483.0,,2024-02-13 08:38:05,2024-02-13 09:12:05,direct,desktop
11000000300,368,,,2025-01-02 12:10:55,,ads,mobile
11000000301,161,,,2024-06-09 09:01:04,2024-06-09 09:12:04,direct,desktop
11000000302,543,,,2025-06-26 00:36:50,2025-06-26 00:59:50,referral,mobile
11000000303,15,448.0,,2024-01-15 11:17:45,2024-01-15 11:50:45,ads,desktop
11000000304,94,814.0,,2024-04-03 08:44:56,2024-04-03 09:35:56,direct,desktop
11000000305,344,205.0,,2024-12-09 08:48:33,2024-12-09 09:22:33,direct,desktop
11000000306,164,873.0,,2024-06-12 15:00:20,2024-06-12 15:51:20,ads,desktop
11000000307,46,,,2024-02-15 15:59:21,2024-02-15 16:22:21,social,mobile
11000000308,524,,,2025-06-07 14:34:03,,ads,mobile
11000000309,438,730.0,,2025-03-13 20:14:23,2025-03-13 21:12:23,direct,mobile
11000000310,277,458.0,,2024-10-03 13:51:57,2024-10-03 14:37:57,referral,mobile
11000000311,402,1357.0,,2025-02-05 07:04:29,2025-02-05 07:09:29,direct,mobile
11000000312,563,,,2025-07-16 21:47:12,2025-07-16 21:50:12,social,mobile
11000000313,149,,,2024-05-28 05:53:10,2024-05-28 06:21:10,referral,desktop
11000000314,26,,,2024-01-26 04:25:16,2024-01-26 05:05:16,social,mobile
11000000315,144,,,2024-05-23 16:08:54,2024-05-23 16:40:54,ads,desktop
11000000316,62,1480.0,,2024-03-02 08:51:37,,ads,desktop
11000000317,582,,,2025-08-04 13:43:02,2025-08-04 14:03:02,ads,mobile
11000000318,397,,,2025-01-31 17:06:50,2025-01-31 17:57:50,ads,tablet
11000000319,625,1336.0,,2025-09-16 23:39:01,2025-09-16 23:51:01,direct,mobile
11000000320,197,301.0,,2024-07-15 07:06:34,2024-07-15 07:47:34,ads,mobile
